feature,type
Age,clinical
Pack_Years,clinical
Gender_Male,clinical
Stage_II,clinical
Stage_III,clinical
Stage_IV,clinical
Stage_Unknown,clinical
T_Stage_T2,clinical
T_Stage_T3,clinical
T_Stage_T4,clinical
T_Stage_TX,clinical
N_Stage_N1,clinical
N_Stage_N2,clinical
N_Stage_N3,clinical
N_Stage_NX,clinical
Grade_G2,clinical
Grade_G3,clinical
Grade_GX,clinical
Alcohol_History_Unknown,clinical
Alcohol_History_Yes,clinical
RNA_AAA67,RNA
RNA_AAA6,RNA
RNA_AAA65,RNA
RNA_AAA38,RNA
RNA_AAA43,RNA
RNA_AAA72,RNA
RNA_AAA8,RNA
RNA_AAA59,RNA
RNA_AAA12,RNA
RNA_AAA70,RNA
RNA_AAA73,RNA
RNA_AAA2,RNA
RNA_AAA27,RNA
RNA_AAA46,RNA
RNA_AAA60,RNA
RNA_AAA48,RNA
RNA_AAA49,RNA
RNA_AAA19,RNA
RNA_AAA34,RNA
RNA_AAA31,RNA
RNA_AAA54,RNA
RNA_AAA5,RNA
RNA_AAA7,RNA
RNA_AAA78,RNA
RNA_AAA28,RNA
RNA_AAA30,RNA
RNA_AAA40,RNA
RNA_AAA41,RNA
RNA_AAA4,RNA
RNA_AAA53,RNA
RNA_AAA9,RNA
RNA_AAA23,RNA
RNA_AAA13,RNA
RNA_AAA52,RNA
RNA_AAA10,RNA
RNA_AAA18,RNA
RNA_AAA35,RNA
RNA_AAA50,RNA
RNA_AAA21,RNA
RNA_AAA62,RNA
RNA_AAA1,RNA
RNA_AAA39,RNA
RNA_AAA3,RNA
RNA_AAA22,RNA
RNA_AAA64,RNA
RNA_AAA61,RNA
RNA_AAA57,RNA
RNA_AAA36,RNA
RNA_AAA29,RNA
RNA_AAA47,RNA
RNA_AAA16,RNA
RNA_AAA75,RNA
RNA_AAA14,RNA
RNA_AAA66,RNA
RNA_AAA11,RNA
RNA_AAA71,RNA
RNA_AAA32,RNA
RNA_AAA55,RNA
RNA_AAA74,RNA
RNA_AAA76,RNA
CNV_AAA5,SCNA
CNV_AAA1,SCNA
CNV_AAA6,SCNA
CNV_AAA7,SCNA
CNV_AAA9,SCNA
CNV_AAA3,SCNA
CNV_AAA4,SCNA
CNV_AAA2,SCNA
