Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
Cancer_Cell_Line_Encyclopedia,HCC2218 BREAST,1/245,0.5231900317168192,0.6909111590672657,0,0,1.368157821617116,0.8863070456656157,AAA1,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,SNU175 LARGE INTESTINE,1/153,0.3696294009732855,0.6909111590672657,0,0,2.2065120428189116,2.19604080667042,AAA1,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,SNU245 BILIARY TRACT,1/164,0.3902830772631667,0.6909111590672657,0,0,2.056462514297598,1.9348905458400123,AAA1,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,DV90 LUNG,1/206,0.4631982242551198,0.6909111590672657,0,0,1.631665977676726,1.2557304405247154,AAA1,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,COLO205 LARGE INTESTINE,1/232,0.5039644210200586,0.6909111590672657,0,0,1.4461075647516326,0.9909446398715714,AAA1,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,HH HAEMATOPOIETIC AND LYMPHOID TISSUE,1/263,0.5486055083889254,0.6909111590672657,0,0,1.272997800491655,0.7642768942897696,AAA1,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,EHEB HAEMATOPOIETIC AND LYMPHOID TISSUE,1/367,0.6713894404906309,0.6909111590672657,0,0,0.9064554968972864,0.361137238136542,AAA1,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,L1236 HAEMATOPOIETIC AND LYMPHOID TISSUE,1/368,0.6723936962370557,0.6909111590672657,0,0,0.9039394079342354,0.3587837225971145,AAA1,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,JVM2 HAEMATOPOIETIC AND LYMPHOID TISSUE,1/374,0.6783561619886053,0.6909111590672657,0,0,0.8891261871222793,0.3450545947467887,AAA1,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,C3A LIVER,1/387,0.6909111590672657,0.6909111590672657,0,0,0.8586106964081848,0.3174661809145289,AAA1,Cancer Cell Line Encyclopedia
DisGeNET,Early onset torsion dystonia,1/22,0.0639942814878953,0.8849173872427141,0,0,16.076674737691686,44.19416072773483,AAA1,DisGeNET
DisGeNET,"Spastic Paraplegia, Hereditary",1/126,0.3159725007922475,0.8849173872427141,0,0,2.686779661016949,3.0954390946179076,AAA1,DisGeNET
DisGeNET,Peripheral Arterial Diseases,1/125,0.3139012626235478,0.8849173872427141,0,0,2.7085839256424276,3.138373335904178,AAA1,DisGeNET
DisGeNET,"Aortic Aneurysm, Thoracic",1/99,0.25783077585673,0.8849173872427141,0,0,3.4316845382220684,4.65148304199707,AAA1,DisGeNET
DisGeNET,Dystonia Disorders,1/135,0.3343390869888691,0.8849173872427141,0,0,2.505185934733114,2.7446806341107255,AAA1,DisGeNET
DisGeNET,Aortic Aneurysm,1/96,0.2510780363139976,0.8849173872427141,0,0,3.5405887600356825,4.893063523640772,AAA1,DisGeNET
DisGeNET,Osteitis Deformans,1/79,0.2116557470040838,0.8849173872427141,0,0,4.315949587136028,6.70178130963921,AAA1,DisGeNET
DisGeNET,Moyamoya disease 1,1/46,0.1292174232451343,0.8849173872427141,0,0,7.493408662900189,15.333453732333885,AAA1,DisGeNET
DisGeNET,Henoch-Schoenlein Purpura,1/98,0.2555865420581644,0.8849173872427141,0,0,3.4672374628691247,4.729985272302349,AAA1,DisGeNET
DisGeNET,"Hamartoma Syndrome, Multiple",1/138,0.3403528412471977,0.8849173872427141,0,0,2.44995669924533,2.6404957878529167,AAA1,DisGeNET
ENCODE_TF_ChIP-seq_2015,SMC3 SK-N-SH hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,EP300 GM12878 hg19,1/4724,0.999996435495596,0.999996435495596,0,0,0.0546083536390616,1.9465206395344448e-07,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,HNF4G HepG2 hg19,1/605,0.8420973947839885,0.999996435495596,0,0,0.5425973734425862,0.0932505679213547,AAA1,ENCODE TF ChIP-seq
