Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
ENCODE_TF_ChIP-seq_2015,TCF12 myocyte mm9,17/1223,4.801293360993649e-07,0.00030008083506210306,0,0,5.175787728026534,75.30362422224378,MYOG;CKM;TNNC1;MYBPH;KLHL41;LMOD2;ACTA1;CHRND;ACTC1;DES;MYL1;NRAP;ANKRD1;SMYD1;TCAP;CACNA1S;ASB5
ENCODE_TF_ChIP-seq_2015,CTCF LNCaP clone FGC hg19,3/2661,0.9960851638421196,0.9999962494958698,0,0,0.2999479076228512,0.0011765514228636,CCND1;PPFIA1;PRAME
ENCODE_TF_ChIP-seq_2015,CTCF BJ hg19,2/2158,0.99611990224599,0.9999962494958698,0,0,0.2498453927025355,0.000971310157226949,CCND1;PRAME
ENCODE_TF_ChIP-seq_2015,USF1 GM12878 hg19,2/2162,0.9961715955579667,0.9999962494958698,0,0,0.2493265993265993,0.0009563548873521704,TNNC1;FADD
ENCODE_TF_ChIP-seq_2015,JUND HepG2 hg19,4/3153,0.9964165486738368,0.9999962494958698,0,0,0.3331017783423309,0.0011957978329268,CCND1;ANKRD1;PRAME;NTS
ENCODE_TF_ChIP-seq_2015,USF1 HepG2 hg19,1/1608,0.9966831736703384,0.9999962494958698,0,0,0.1701975498982994,0.0005654539903456283,FADD
ENCODE_TF_ChIP-seq_2015,MAX SK-N-SH hg19,1/1609,0.9966954267428748,0.9999962494958698,0,0,0.1700824237023836,0.000562980547274482,ANKRD1
ENCODE_TF_ChIP-seq_2015,CEBPB K562 hg19,3/2716,0.9967085873895848,0.9999962494958698,0,0,0.2929314695625053,0.0009657485446739774,SLC34A2;ANKRD1;PRAME
ENCODE_TF_ChIP-seq_2015,USF1 SK-N-SH hg19,3/2726,0.9968112135858352,0.9999962494958698,0,0,0.2916862058250233,0.0009316111555063364,PIGR;ACTN2;FADD
ENCODE_TF_ChIP-seq_2015,RAD21 MEL cell line mm9,4/3199,0.9968810307701343,0.9999962494958698,0,0,0.327406103286385,0.0010227653791085,MYOG;GSTM1;SCGB3A1;FADD
ENCODE_TF_ChIP-seq_2015,SIN3A PFSK-1 hg19,1/1632,0.9969652463993632,0.9999962494958698,0,0,0.1674734848138217,0.000509013517602903,CCND1
ENCODE_TF_ChIP-seq_2015,CTCF foreskin fibroblast hg19,3/2745,0.9969978201299808,0.9999962494958698,0,0,0.2893452280760815,0.0008699729813131447,GSTM1;CCND1;PRAME
ENCODE_TF_ChIP-seq_2015,CTCF fibroblast of gingiva hg19,2/2237,0.9970260500369724,0.9999962494958698,0,0,0.2399430547081553,0.0007146418206843613,CCND1;PRAME
ENCODE_TF_ChIP-seq_2015,CTCF GM12865 hg19,1/1640,0.997053906777978,0.9999962494958698,0,0,0.1665831914254232,0.0004914939606910779,PRAME
ENCODE_TF_ChIP-seq_2015,REST SK-N-SH hg19,1/1645,0.9971080170655466,0.9999962494958698,0,0,0.166031158078222,0.0004808549234900465,CCND1
ENCODE_TF_ChIP-seq_2015,BHLHE40 HepG2 hg19,2/2249,0.997144364778179,0.9999962494958698,0,0,0.2384998179390702,0.0006820427773417075,CCND1;TNNC1
ENCODE_TF_ChIP-seq_2015,MAFK HepG2 hg19,4/3120,0.9960436650317986,0.9999962494958698,0,0,0.3372913992297818,0.0013370844818197,CCND1;ANKRD1;MYH8;FADD
ENCODE_TF_ChIP-seq_2015,EP300 HepG2 hg19,4/3119,0.9960318105383552,0.9999962494958698,0,0,0.3374197431781701,0.001341609112577,SLC34A2;CCND1;CTTN;ANKRD1
ENCODE_TF_ChIP-seq_2015,MAX ECC-1 hg19,1/1558,0.9960098855888474,0.9999962494958698,0,0,0.1761424093405803,0.0007042342898317336,ACTN2
ENCODE_TF_ChIP-seq_2015,GABPA SK-N-SH hg19,2/2142,0.9959062952656544,0.9999962494958698,0,0,0.2519399603511753,0.0010334846452122,CTTN;PRAME
ENCODE_TF_ChIP-seq_2015,CTCF fibroblast of pedal digit skin hg19,2/2060,0.99462048140298,0.9999962494958698,0,0,0.2631857937980387,0.0014196347808942,GSTM1;CCND1
ENCODE_TF_ChIP-seq_2015,PBX3 SK-N-SH hg19,2/2063,0.9946737338344116,0.9999962494958698,0,0,0.2627585902695073,0.0014032625904059,CCND1;ANKRD1
ENCODE_TF_ChIP-seq_2015,CTCF GM12874 hg19,2/2065,0.9947089523429666,0.9999962494958698,0,0,0.2624744781797617,0.0013924519948553,PRAME;NTS
ENCODE_TF_ChIP-seq_2015,NFIC HepG2 hg19,1/1493,0.9949298950681468,0.9999962494958698,0,0,0.1844664079068464,0.0009376430324644538,ANKRD1
ENCODE_TF_ChIP-seq_2015,ZBTB33 GM12878 hg19,1/1493,0.9949298950681468,0.9999962494958698,0,0,0.1844664079068464,0.0009376430324644538,FADD
ENCODE_TF_ChIP-seq_2015,GABPA K562 hg19,1/1494,0.9949485143873996,0.9999962494958698,0,0,0.1843328568143875,0.0009335145819776902,CTTN
ENCODE_TF_ChIP-seq_2015,CTCF GM12875 hg19,2/2082,0.99499936925485,0.9999962494958698,0,0,0.2600815850815851,0.0013038346923535,GSTM1;PRAME
ENCODE_TF_ChIP-seq_2015,POLR2AphosphoS5 Panc1 hg19,1/1656,0.9972236332525536,0.9999962494958698,0,0,0.1648284258465978,0.00045826060508073947,FADD
ENCODE_TF_ChIP-seq_2015,TAF1 PFSK-1 hg19,1/1503,0.9951130832573264,0.9999962494958698,0,0,0.1831388993779438,0.0008971785619806913,PPFIA1
ENCODE_TF_ChIP-seq_2015,REST A549 hg19,1/1527,0.9955265334674552,0.9999962494958698,0,0,0.1800238649478688,0.000807137435104107,FADD
ENCODE_TF_ChIP-seq_2015,HNF4A HepG2 hg19,3/2620,0.9955485659379724,0.9999962494958698,0,0,0.305370212515799,0.0013623698700082,CCND1;TCAP;MYH7
ENCODE_TF_ChIP-seq_2015,CTCF HepG2 hg19,4/3081,0.9955555537914692,0.9999962494958698,0,0,0.3423586285342866,0.0015249858832714,BPIFB1;CCND1;PRAME;MYH7
ENCODE_TF_ChIP-seq_2015,HDAC2 K562 hg19,3/2623,0.9955900990136568,0.9999962494958698,0,0,0.3049677040516735,0.0013478515139216,SLC34A2;CKM;PRAME
ENCODE_TF_ChIP-seq_2015,NFATC1 GM12878 hg19,1/1532,0.9956082248297492,0.9999962494958698,0,0,0.1793871920605984,0.0007895632800224377,CTTN
ENCODE_TF_ChIP-seq_2015,SPI1 K562 hg19,1/1543,0.9957828041253848,0.9999962494958698,0,0,0.1780010453568732,0.0007522525896570213,PRAME
ENCODE_TF_ChIP-seq_2015,TAF1 neural cell hg19,1/1546,0.9958292170559848,0.9999962494958698,0,0,0.1776264309520359,0.0007423905419599556,PPFIA1
ENCODE_TF_ChIP-seq_2015,CTCF GM12870 hg19,1/1518,0.9953756964924164,0.9999962494958698,0,0,0.1811804523854032,0.0008397765923571917,PRAME
ENCODE_TF_ChIP-seq_2015,GABPA MCF-7 hg19,2/2048,0.9944022866164616,0.9999962494958698,0,0,0.2649071358748778,0.0014870401259542,PRAME;FADD
ENCODE_TF_ChIP-seq_2015,CTCF HeLa-S3 hg19,4/3275,0.9975254901539884,0.9999962494958698,0,0,0.3183468358300214,0.0007887286410627318,MYBPC1;BPIFB1;CCND1;PRAME
ENCODE_TF_ChIP-seq_2015,TCF7L2 HeLa-S3 hg19,3/2827,0.9976897410462058,0.9999962494958698,0,0,0.2796033994334277,0.0006467035713806287,CCND1;PRAME;FADD
ENCODE_TF_ChIP-seq_2015,EGR1 K562 hg19,1/1915,0.998944431521937,0.9999962494958698,0,0,0.1405043746783325,0.00014839032079856608,CTTN
ENCODE_TF_ChIP-seq_2015,CTCF G1E-ER4 mm9,2/2540,0.998948925536996,0.9999962494958698,0,0,0.2076796332115481,0.00021840155722176288,GSTM1;FADD
ENCODE_TF_ChIP-seq_2015,RCOR1 IMR-90 hg19,1/1930,0.9990022880659052,0.9999962494958698,0,0,0.1392957452241127,0.00013904640304656263,ASB5
