Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myogenesis,18/200,3.7778122070163435e-21,5.666718310524515e-20,0,0,39.065934065934066,1837.0810925946353,MYOG;CKM;ACTN2;TNNC1;MYBPH;ACTA1;MYH1;CSRP3;MYH2;ACTC1;DES;SLN;MYL1;MYL2;MYH8;MYF6;TCAP;MYH7
MSigDB_Hallmark_2020,KRAS Signaling Dn,4/200,0.0047986051189846,0.0239930255949231,0,0,6.293367346938775,33.6029944353692,SPRR3;ACTC1;CKM;MYH7
MSigDB_Hallmark_2020,Apical Junction,4/200,0.0047986051189846,0.0239930255949231,0,0,6.293367346938775,33.6029944353692,ACTA1;ACTC1;ACTN2;NRAP
MSigDB_Hallmark_2020,Estrogen Response Late,3/200,0.0307146647785553,0.1151799929195826,0,0,4.623584537290121,16.10401456697529,CCND1;TNNC1;LTF
MSigDB_Hallmark_2020,Notch Signaling,1/32,0.103332094120948,0.2601773195801824,0,0,9.581608088589311,21.748403627067045,CCND1
MSigDB_Hallmark_2020,Apoptosis,2/161,0.1040709278320729,0.2601773195801824,0,0,3.7684391080617496,8.526781651392326,GSTM1;CCND1
MSigDB_Hallmark_2020,KRAS Signaling Up,2/200,0.1481287080780672,0.2777413276463761,0,0,3.0202020202020203,5.767600469255814,PIGR;ANO1
MSigDB_Hallmark_2020,Complement,2/200,0.1481287080780672,0.2777413276463761,0,0,3.0202020202020203,5.767600469255814,ACTN2;LTF
MSigDB_Hallmark_2020,Androgen Response,1/100,0.2892437892552286,0.4820729820920477,0,0,2.990049751243781,3.7091130169332223,CCND1
MSigDB_Hallmark_2020,Fatty Acid Metabolism,1/158,0.4173922662687204,0.4956952821636893,0,0,1.8799315524289384,1.6425503635540326,ADH7
MSigDB_Hallmark_2020,Mitotic Spindle,1/199,0.4939574500364587,0.4956952821636893,0,0,1.4875621890547264,1.0491863871192704,CTTN
MSigDB_Hallmark_2020,Xenobiotic Metabolism,1/200,0.4956952821636893,0.4956952821636893,0,0,1.4800120003000077,1.0386633811930914,ADH7
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,1/200,0.4956952821636893,0.4956952821636893,0,0,1.4800120003000077,1.0386633811930914,CCND1
MSigDB_Hallmark_2020,G2-M Checkpoint,1/200,0.4956952821636893,0.4956952821636893,0,0,1.4800120003000077,1.0386633811930914,CCND1
MSigDB_Hallmark_2020,Estrogen Response Early,1/200,0.4956952821636893,0.4956952821636893,0,0,1.4800120003000077,1.0386633811930914,CCND1
