Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Human_Gene_Atlas,SkeletalMuscle,20/441,1.492421351882826e-17,4.626506190836762e-16,0,0,19.31017418844022,748.1446356781652,MYBPC1;MYBPC2;CKM;ACTN2;LMOD2;ACTA1;MYH1;MYH2;DES;SLN;MYL1;MYL2;NRAP;ANKRD1;MYH8;MYF6;TCAP;CACNA1S;ASB5;MYH7
Human_Gene_Atlas,Heart,12/415,1.3871738105967568e-08,2.150119406424973e-07,0,0,10.384083658277207,187.8835069496649,CSRP3;ACTC1;DES;CTTN;CKM;ACTN2;TNNC1;MYL2;NRAP;MYH8;TCAP;MYH7
Human_Gene_Atlas,Tongue,7/115,1.2541913742426248e-07,1.2959977533840458e-06,0,0,21.06375227686703,334.73682277332347,SPRR3;LCE3D;MYH2;SPINK7;ADH7;SPRR2B;TRDN
Human_Gene_Atlas,Trachea,4/72,0.00010563700699436324,0.000818686804206315,0,0,18.25735294117647,167.15522777206678,PIGR;UPK1B;MUC5B;LTF
Human_Gene_Atlas,Colorectaladenocarcinoma,4/292,0.0174623372076962,0.1082664906877167,0,0,4.263020833333333,17.25546726922195,ANO1;CCND1;PPFIA1;FGF3
Human_Gene_Atlas,Tonsil,1/26,0.0847937037877674,0.4381008029034652,0,0,11.884776119402986,29.326088999262875,LCE3D
Human_Gene_Atlas,Thyroid,3/388,0.1454840036786354,0.5650640093272451,0,0,2.343296703296703,4.517147603854731,ACTA1;ACTN2;NRAP
Human_Gene_Atlas,Bonemarrow,1/52,0.1624944201180422,0.5650640093272451,0,0,5.818261633011414,10.572430795578446,LTF
Human_Gene_Atlas,Salivarygland,1/57,0.1766735309285739,0.5650640093272451,0,0,5.297441364605544,9.182858779101382,STATH
Human_Gene_Atlas,GlobusPallidus,1/59,0.1822787126862081,0.5650640093272451,0,0,5.1142563046834795,8.705581055775474,MYOG
Human_Gene_Atlas,FetalThyroid,1/66,0.2016023561335558,0.5681520945582029,0,0,4.561882893226177,7.305664108438629,HORMAD1
Human_Gene_Atlas,Thalamus,1/79,0.2363028689515041,0.5882317507720578,0,0,3.799081515499426,5.480710580789464,NEFM
Human_Gene_Atlas,OlfactoryBulb,1/83,0.2466778309689274,0.5882317507720578,0,0,3.6130323989807063,5.0570607239824845,FGF4
Human_Gene_Atlas,TestisLeydigCell,1/107,0.3060739851180765,0.6113089461995359,0,0,2.7916079977471133,3.305064059494782,HORMAD1
Human_Gene_Atlas,Skin,1/111,0.3155142948126637,0.6113089461995359,0,0,2.68955223880597,3.102536453488277,KRT2
Human_Gene_Atlas,Hypothalamus,1/97,0.2819083189659991,0.6113089461995359,0,0,3.083955223880597,3.9048219816902465,NTS
Human_Gene_Atlas,Leukemia chronicMyelogenousK-562,1/124,0.3453298375705027,0.6297191155697403,0,0,2.403713141609028,2.5557606599694376,PRAME
Human_Gene_Atlas,PrefrontalCortex,2/521,0.5320547828668357,0.8631687348823628,0,0,1.1334734629532317,0.7152317519383304,CTTN;SHANK2
Human_Gene_Atlas,TestisIntersitial,2/568,0.5792439059112462,0.8631687348823628,0,0,1.036834778884249,0.5661445909686832,PPFIA1;HORMAD1
Human_Gene_Atlas,AtrioventricularNode,1/269,0.6024206573588504,0.8631687348823628,0,0,1.0951214078859437,0.5550067753284315,NRAP
Human_Gene_Atlas,CiliaryGanglion,1/278,0.6145862026940286,0.8631687348823628,0,0,1.0590549059755374,0.515554365993566,TRDN
Human_Gene_Atlas,Lung,1/299,0.6415642666860747,0.8631687348823628,0,0,0.9833717319443052,0.4364655291479044,SLC34A2
Human_Gene_Atlas,TestisGermCell,1/314,0.6596864064963234,0.8631687348823628,0,0,0.9355300176434124,0.3891717855534868,PPFIA1
Human_Gene_Atlas,Fetalbrain,1/325,0.6723992405699107,0.8631687348823628,0,0,0.9032614704256496,0.3585071936110912,SHANK2
Human_Gene_Atlas,SmoothMuscle,1/363,0.7128196187986577,0.8631687348823628,0,0,0.8068772161292983,0.2731496262265724,CTTN
Human_Gene_Atlas,Testis,1/384,0.733005610174167,0.8631687348823628,0,0,0.7618175441331203,0.2366219944939442,PPFIA1
Human_Gene_Atlas,Placenta,1/405,0.7517921239297999,0.8631687348823628,0,0,0.7214422934830796,0.2058241851484304,KRT24
Human_Gene_Atlas,WholeBlood,1/514,0.8302542080631455,0.9192100160699112,0,0,0.5649821070088156,0.1050998644105103,FADD
Human_Gene_Atlas,CD33+ Myeloid,1/679,0.9048875547842335,0.9350504732770414,0,0,0.4238541804253071,0.0423619330703128,PPFIA1
Human_Gene_Atlas,Liver,1/618,0.8821068731072058,0.9350504732770414,0,0,0.4672343307772321,0.0586108364847418,GSTM1
Human_Gene_Atlas,721 B lymphoblasts,1/1543,0.9957828041253848,0.9957828041253848,0,0,0.1780010453568732,0.0007522525896570213,FADD
