Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Cardiac muscle contraction,6/87,5.016037182758686e-07,3.476457238265568e-05,0,0,23.7168458781362,344.0236509399057,ACTC1;TNNC1;MYL2;CACNA1S;TRDN;MYH7
KEGG_2021_Human,Hypertrophic cardiomyopathy,6/90,6.13538860194074e-07,3.476457238265568e-05,0,0,22.86635944700461,327.08091391776514,ACTC1;DES;TNNC1;MYL2;CACNA1S;MYH7
KEGG_2021_Human,Dilated cardiomyopathy,6/96,8.990837685169573e-07,3.476457238265568e-05,0,0,21.335483870967742,297.03025159351245,ACTC1;DES;TNNC1;MYL2;CACNA1S;MYH7
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,5/150,0.00015818100130258317,0.0037403120603611,0,0,10.83032293377121,94.78450187002986,ACTC1;TNNC1;MYL2;CACNA1S;MYH7
KEGG_2021_Human,Chemical carcinogenesis,6/239,0.00016122034742936192,0.0037403120603611,0,0,8.181780423646684,71.44934899502134,GSTM1;CCND1;CACNA1S;FGF3;UGT1A7;FGF4
KEGG_2021_Human,Calcium signaling pathway,5/240,0.0013451471201442,0.0260061776561217,0,0,6.652144545761567,43.97900319342434,TNNC1;CACNA1S;FGF3;FGF4;TRDN
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,3/76,0.002213182258085,0.0296102154818125,0,0,12.555742887249735,76.75732261509744,GSTM1;ADH7;UGT1A7
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,3/77,0.0022973443046233,0.0296102154818125,0,0,12.385446985446986,75.25399413146187,DES;ACTN2;CACNA1S
KEGG_2021_Human,Melanoma,3/72,0.001895838132275,0.0296102154818125,0,0,13.28628762541806,83.2797030961845,CCND1;FGF3;FGF4
KEGG_2021_Human,Drug metabolism,3/108,0.005949632253918,0.0690157341454495,0,0,8.715164835164835,44.66021611996363,GSTM1;ADH7;UGT1A7
KEGG_2021_Human,Breast cancer,3/147,0.0137639696368881,0.1379329053153665,0,0,6.342307692307692,27.181234400391325,CCND1;FGF3;FGF4
KEGG_2021_Human,Gastric cancer,3/149,0.0142689212395206,0.1379329053153665,0,0,6.254794520547946,26.580821679201694,CCND1;FGF3;FGF4
KEGG_2021_Human,Viral myocarditis,2/60,0.0177588230505749,0.1584633441435915,0,0,10.383490073145246,41.85452784289615,CCND1;MYH7
KEGG_2021_Human,Tight junction,3/169,0.0198963880547454,0.1648557867393192,0,0,5.495644114921223,21.527630929438807,CCND1;CTTN;MYL2
KEGG_2021_Human,Retinol metabolism,2/68,0.02246243390249,0.173709488845923,0,0,9.12121212121212,34.623309145572826,ADH7;UGT1A7
KEGG_2021_Human,IL-17 signaling pathway,2/94,0.0407466023557477,0.2487687301719336,0,0,6.534914361001317,20.91422765467781,FADD;MUC5B
KEGG_2021_Human,Salivary secretion,2/93,0.0399656188406631,0.2487687301719336,0,0,6.6070596070596075,21.272985843869264,STATH;MUC5B
KEGG_2021_Human,Pathways in cancer,5/531,0.0343939478233918,0.2487687301719336,0,0,2.9280584223550004,9.867189896445,GSTM1;CCND1;FADD;FGF3;FGF4
KEGG_2021_Human,Regulation of actin cytoskeleton,3/218,0.0381608311538026,0.2487687301719336,0,0,4.232629695885509,13.82353855129215,MYL2;FGF3;FGF4
KEGG_2021_Human,Thyroid hormone signaling pathway,2/121,0.0638689379780881,0.3704398402729109,0,0,5.04532722179781,13.87930235503482,CCND1;MYH7
KEGG_2021_Human,Shigellosis,2/246,0.2038638598708799,0.3884532700193943,0,0,2.4451068057625434,3.88846034985665,CTTN;MYL2
KEGG_2021_Human,Glutathione metabolism,1/57,0.1766735309285739,0.3884532700193943,0,0,5.297441364605544,9.182858779101382,GSTM1
KEGG_2021_Human,Human cytomegalovirus infection,2/225,0.1780551191546402,0.3884532700193943,0,0,2.678217149069167,4.621697879137476,CCND1;FADD
KEGG_2021_Human,Endometrial cancer,1/58,0.1794808377120325,0.3884532700193943,0,0,5.204241948153967,8.939257856797644,CCND1
KEGG_2021_Human,Mineral absorption,1/60,0.1850671870573581,0.3884532700193943,0,0,5.027321022008601,8.48127328991471,SLC34A2
KEGG_2021_Human,Ras signaling pathway,2/232,0.1866018988607176,0.3884532700193943,0,0,2.595783926218709,4.3577444666189615,FGF3;FGF4
KEGG_2021_Human,Steroid hormone biosynthesis,1/61,0.1878462919472579,0.3884532700193943,0,0,4.943283582089553,8.265818938373865,UGT1A7
KEGG_2021_Human,Lysine degradation,1/63,0.1933765172474068,0.3884532700193943,0,0,4.783341357727491,7.859585311378846,SMYD1
KEGG_2021_Human,GnRH secretion,1/64,0.1961276993632877,0.3884532700193943,0,0,4.707178393745558,7.667943257971954,CACNA1S
KEGG_2021_Human,Cortisol synthesis and secretion,1/65,0.1988696354697893,0.3884532700193943,0,0,4.63339552238806,7.483423829325053,CACNA1S
KEGG_2021_Human,Acute myeloid leukemia,1/67,0.2043258918563289,0.3884532700193943,0,0,4.492537313432836,7.134324690451876,CCND1
KEGG_2021_Human,Pancreatic cancer,1/76,0.2284293779420443,0.3884532700193943,0,0,3.951641791044776,5.834710479551735,CCND1
KEGG_2021_Human,Renin secretion,1/69,0.2097455301816246,0.3884532700193943,0,0,4.359964881474978,6.809655813963362,CACNA1S
KEGG_2021_Human,Prolactin signaling pathway,1/70,0.2124416932869959,0.3884532700193943,0,0,4.296560674886438,6.655749348765278,CCND1
KEGG_2021_Human,RIG-I-like receptor signaling pathway,1/70,0.2124416932869959,0.3884532700193943,0,0,4.296560674886438,6.655749348765278,FADD
KEGG_2021_Human,Non-small cell lung cancer,1/72,0.2178068579126931,0.3884532700193943,0,0,4.175110363674585,6.363480189334428,CCND1
KEGG_2021_Human,Pathways of neurodegeneration,3/475,0.2191191622440095,0.3884532700193943,0,0,1.9028683181225552,2.8888197041502104,NEFM;CACNA1S;FADD
KEGG_2021_Human,p53 signaling pathway,1/73,0.2204759193762641,0.3884532700193943,0,0,4.116915422885572,6.224639434669465,CCND1
KEGG_2021_Human,Glioma,1/75,0.225787149721638,0.3884532700193943,0,0,4.00524405002017,5.960454154342527,CCND1
KEGG_2021_Human,Chronic myeloid leukemia,1/76,0.2284293779420443,0.3884532700193943,0,0,3.951641791044776,5.834710479551735,CCND1
KEGG_2021_Human,Hedgehog signaling pathway,1/56,0.1738567610280003,0.3884532700193943,0,0,5.394029850746269,9.436982152284866,CCND1
KEGG_2021_Human,Bacterial invasion of epithelial cells,1/77,0.2310627209598121,0.3884532700193943,0,0,3.899450117831893,5.71295212171733,CTTN
KEGG_2021_Human,Salmonella infection,2/249,0.2075877522594921,0.3884532700193943,0,0,2.4150410992516256,3.796930336193201,MYL2;FADD
KEGG_2021_Human,Rap1 signaling pathway,2/210,0.1599739904290904,0.3884532700193943,0,0,2.8735431235431235,5.266469024106059,FGF3;FGF4
KEGG_2021_Human,Glycolysis / Gluconeogenesis,1/67,0.2043258918563289,0.3884532700193943,0,0,4.492537313432836,7.134324690451876,ADH7
KEGG_2021_Human,Proteoglycans in cancer,2/205,0.1540283896658356,0.3884532700193943,0,0,2.9450664278250485,5.509095287366252,CCND1;CTTN
KEGG_2021_Human,MAPK signaling pathway,3/294,0.0785412242491328,0.3884532700193943,0,0,3.115146708961142,7.9253433128807345,CACNA1S;FGF3;FGF4
