Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
PanglaoDB_Augmented_2021,Myocytes,27/163,2.1500119043632823e-39,1.5265084520979306e-37,0,0,95.8558106169297,8534.555192279397,LMOD2;CSRP3;C10ORF71;SLN;NRAP;ANKRD1;SMYD1;XIRP2;CACNA1S;MYOG;CKM;ACTN2;TNNC1;KLHL41;TRDN;ACTA1;MYH1;MYH2;ACTC1;DES;MYL1;MYL2;MYH8;MYF6;TCAP;ASB5;MYH7
PanglaoDB_Augmented_2021,Cardiomyocytes,22/174,3.3786544845219815e-29,1.1994223420053035e-27,0,0,62.23684210526316,4080.091163164037,CKM;ACTN2;TNNC1;KLHL41;LMOD2;TRDN;ACTA1;CSRP3;C10ORF71;ACTC1;DES;SLN;MYL1;MYL2;NRAP;ANKRD1;SMYD1;XIRP2;TCAP;CACNA1S;ASB5;MYH7
PanglaoDB_Augmented_2021,Oxyphil Cells,7/94,3.0992056871200374e-08,7.334786792850754e-07,0,0,26.175805539853023,452.56750329269926,C10ORF71;ACTN2;SMYD1;CACNA1S;LMOD2;TRDN;MYH7
PanglaoDB_Augmented_2021,Clara Cells,7/113,1.111450078352812e-07,1.9728238890762416e-06,0,0,21.463346736776987,343.6803395774017,PIGR;SLC34A2;BPIFA1;BPIFB1;SCGB3A1;ADH7;MUC5B
PanglaoDB_Augmented_2021,Ionocytes,6/107,1.7022383284218771e-06,2.4171784263590657e-05,0,0,19.00127754710955,252.4047340561556,PIGR;SLC34A2;BPIFA1;BPIFB1;ADH7;SHANK2
PanglaoDB_Augmented_2021,Myoblasts,6/126,4.41062574758605e-06,5.219240467976826e-05,0,0,15.977419354838707,197.02545068111573,MYOG;ACTC1;DES;MYL1;MYF6;ASB5
PanglaoDB_Augmented_2021,Airway Epithelial Cells,5/103,2.647066866178224e-05,0.0002684882107123627,0,0,16.062520246193717,169.29050295910355,PIGR;SLC34A2;BPIFA1;BPIFB1;ADH7
PanglaoDB_Augmented_2021,Airway Goblet Cells,5/118,5.086727192545035e-05,0.0004514470383383718,0,0,13.919792105632814,137.61511303446343,PIGR;BPIFB1;SCGB3A1;MUC5B;LTF
PanglaoDB_Augmented_2021,Salivary Mucous Cells,4/105,0.0004512442209666195,0.0035598155209588,0,0,12.271658415841584,94.53474337185132,ANO1;LCE3D;SPRR2G;RPTN
PanglaoDB_Augmented_2021,Pulmonary Alveolar Type II Cells,4/135,0.0011574048589502,0.0082175744985467,0,0,9.447041984732824,63.8768826308708,PIGR;SLC34A2;SCGB3A1;LTF
PanglaoDB_Augmented_2021,Ciliated Cells,3/104,0.0053583527040772,0.034585731089953,0,0,9.062147753236864,47.38686487674727,BPIFA1;BPIFB1;ADH7
PanglaoDB_Augmented_2021,Intercalated Cells,3/118,0.0075936925993113,0.0449293478792588,0,0,7.953311036789298,38.81563582183563,PIGR;SLC34A2;BPIFB1
PanglaoDB_Augmented_2021,Cholangiocytes,3/134,0.0107341655413983,0.0566581223915529,0,0,6.976277157956547,31.632698040210716,PIGR;SCGB3A1;MUC5B
PanglaoDB_Augmented_2021,Ependymal Cells,3/136,0.0111720241335456,0.0566581223915529,0,0,6.870676691729323,30.87917405822662,BPIFA1;BPIFB1;ADH7
PanglaoDB_Augmented_2021,Smooth Muscle Cells,3/169,0.0198963880547454,0.0941762367924616,0,0,5.495644114921223,21.527630929438807,ACTC1;DES;ANKRD1
PanglaoDB_Augmented_2021,Epithelial Cells,3/218,0.0381608311538026,0.1693386882449991,0,0,4.232629695885509,13.82353855129215,PIGR;KRT2;LTF
PanglaoDB_Augmented_2021,Juxtaglomerular Cells,2/103,0.04802997914352,0.2005957952464662,0,0,5.94989498949895,18.06346408586769,ANO1;DES
PanglaoDB_Augmented_2021,Cardiac Stem And Precursor Cells,2/113,0.0566311064322393,0.2233782531493885,0,0,5.4111384111384115,15.536443621202164,CCND1;ANKRD1
PanglaoDB_Augmented_2021,Goblet Cells,2/122,0.0647947693408217,0.242127822273597,0,0,5.003030303030303,13.690944511015363,PIGR;MUC5B
PanglaoDB_Augmented_2021,Ductal Cells,2/132,0.0742968228303721,0.2637537210478212,0,0,4.615850815850816,11.999767773212444,PIGR;ANO1
PanglaoDB_Augmented_2021,Distal Tubule Cells,2/137,0.0792061519699792,0.2677922280889774,0,0,4.443771043771044,11.26807604276484,PIGR;SLC34A2
PanglaoDB_Augmented_2021,Mesothelial Cells,2/144,0.0862447392191091,0.2783352947525794,0,0,4.223218096457533,10.349275604725992,ANO1;DES
PanglaoDB_Augmented_2021,Enteric Neurons,2/166,0.1094929994631386,0.338000128777515,0,0,3.6526237989652626,8.079219089116346,MYL1;NEFM
PanglaoDB_Augmented_2021,Podocytes,2/184,0.1295968548476543,0.3833906955909775,0,0,3.288378288378288,6.719231365186108,DES;CTTN
PanglaoDB_Augmented_2021,Anterior Pituitary Gland Cells,1/133,0.3652179715143838,0.4703944588107802,0,0,2.2388059701492535,2.255061764352553,NEFM
PanglaoDB_Augmented_2021,Melanocytes,1/133,0.3652179715143838,0.4703944588107802,0,0,2.2388059701492535,2.255061764352553,CCND1
PanglaoDB_Augmented_2021,Mammary Epithelial Cells,1/134,0.3673906750930223,0.4703944588107802,0,0,2.2218606217035126,2.2248145572404026,ANO1
PanglaoDB_Augmented_2021,Principal Cells,1/136,0.3717141237284094,0.4703944588107802,0,0,2.1887230514096188,2.1660264414981336,ANO1
PanglaoDB_Augmented_2021,Alpha Cells,1/136,0.3717141237284094,0.4703944588107802,0,0,2.1887230514096188,2.1660264414981336,KLHL41
PanglaoDB_Augmented_2021,Satellite Cells,1/139,0.3781447641128622,0.4703944588107802,0,0,2.1408176508760546,2.081898458904531,ASB5
PanglaoDB_Augmented_2021,Enteroendocrine Cells,1/139,0.3781447641128622,0.4703944588107802,0,0,2.1408176508760546,2.081898458904531,NTS
PanglaoDB_Augmented_2021,Luminal Epithelial Cells,1/140,0.380273865433981,0.4703944588107802,0,0,2.1253087082572746,2.054883601848658,LTF
PanglaoDB_Augmented_2021,Trigeminal Neurons,1/144,0.3887186811770662,0.4703944588107802,0,0,2.0654420206659014,1.9516348881046108,NEFM
PanglaoDB_Augmented_2021,Leydig Cells,1/145,0.3908121065738288,0.4703944588107802,0,0,2.050995024875622,1.9269680338127704,ANO1
