Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Striated Muscle Contraction R-HSA-390522,8/33,1.5134996987248272e-13,3.783749246812067e-11,0,0,106.17066666666666,3134.071185520483,MYBPC1;MYBPC2;DES;ACTN2;MYL1;MYL2;MYH8;TCAP
Reactome_2022,Muscle Contraction R-HSA-397014,10/196,1.1521298445768035e-09,1.440162305721005e-07,0,0,18.303670745272527,376.71981031507784,MYBPC1;MYBPC2;DES;SLN;ACTN2;MYL1;MYL2;MYH8;TCAP;TRDN
Reactome_2022,Formation Of Cornified Envelope R-HSA-6809371,7/74,5.747850140884365e-09,4.789875117403638e-07,0,0,34.02373379006606,645.5812933543245,SPRR2F;SPRR3;LCE3D;SPRR2G;SPINK6;SPRR2B;RPTN
Reactome_2022,Keratinization R-HSA-6805567,9/208,3.4690468492351564e-08,2.1681542807719727e-06,0,0,15.126224342049229,259.8201434525976,SPRR2F;SPRR3;LCE3D;SPRR2G;SPINK6;KRT2;KRT24;SPRR2B;RPTN
Reactome_2022,Developmental Biology R-HSA-1266738,12/1073,0.0002399908405865705,0.0119995420293285,0,0,3.811296620438939,31.76681355077665,MYOG;SPRR2F;SPRR3;LCE3D;SPRR2G;SPINK6;KRT2;KRT24;MYF6;CACNA1S;SPRR2B;RPTN
Reactome_2022,FGFRL1 Modulation Of FGFR1 Signaling R-HSA-5658623,2/13,0.0008672004982370924,0.0361333540932121,0,0,54.878787878787875,386.90864481269017,FGF3;FGF4
Reactome_2022,Phospholipase C-mediated Cascade: FGFR1 R-HSA-5654219,2/16,0.0013253963875063,0.0414186371095723,0,0,43.112554112554115,285.66566773659633,FGF3;FGF4
Reactome_2022,FGFR1 Ligand Binding And Activation R-HSA-190242,2/16,0.0013253963875063,0.0414186371095723,0,0,43.112554112554115,285.66566773659633,FGF3;FGF4
Reactome_2022,Activated Point Mutants Of FGFR2 R-HSA-2033519,2/17,0.0014988231077721,0.0416339752158929,0,0,40.236363636363635,261.66009341787907,FGF3;FGF4
Reactome_2022,FRS-mediated FGFR1 Signaling R-HSA-5654693,2/22,0.0025180320994553,0.0419672016575893,0,0,30.169696969696968,180.5438416371124,FGF3;FGF4
Reactome_2022,PI-3K cascade:FGFR1 R-HSA-5654689,2/21,0.0022941435449256,0.0419672016575893,0,0,31.759170653907496,193.0130467915525,FGF3;FGF4
Reactome_2022,SHC-mediated cascade:FGFR2 R-HSA-5654699,2/22,0.0025180320994553,0.0419672016575893,0,0,30.169696969696968,180.5438416371124,FGF3;FGF4
Reactome_2022,SHC-mediated cascade:FGFR1 R-HSA-5654688,2/20,0.0020802097196089,0.0419672016575893,0,0,33.525252525252526,207.02804146104273,FGF3;FGF4
Reactome_2022,Phospholipase C-mediated Cascade; FGFR2 R-HSA-5654221,2/18,0.0016824805132125,0.0419672016575893,0,0,37.71969696969697,240.93403928127228,FGF3;FGF4
Reactome_2022,FGFR2 Ligand Binding And Activation R-HSA-190241,2/20,0.0020802097196089,0.0419672016575893,0,0,33.525252525252526,207.02804146104273,FGF3;FGF4
Reactome_2022,PI-3K cascade:FGFR2 R-HSA-5654695,2/23,0.0027518072427276,0.0429969881676188,0,0,28.73160173160173,169.38708342077788,FGF3;FGF4
Reactome_2022,FRS-mediated FGFR2 Signaling R-HSA-5654700,2/24,0.0029954011693546,0.0440500171963917,0,0,27.424242424242426,159.35341771425578,FGF3;FGF4
Reactome_2022,Antimicrobial Peptides R-HSA-6803157,3/89,0.0034646715994478,0.0481204388812198,0,0,10.650805008944545,60.338274087322745,BPIFA1;BPIFB1;LTF
Reactome_2022,Myogenesis R-HSA-525793,2/29,0.0043583027397844,0.0544787842473056,0,0,22.34006734006734,121.43329141490818,MYOG;MYF6
Reactome_2022,Downstream Signaling Of Activated FGFR2 R-HSA-5654696,2/29,0.0043583027397844,0.0544787842473056,0,0,22.34006734006734,121.43329141490818,FGF3;FGF4
Reactome_2022,Downstream Signaling Of Activated FGFR1 R-HSA-5654687,2/30,0.0046594041129255,0.0554690965824472,0,0,21.541125541125545,115.65145339322927,FGF3;FGF4
Reactome_2022,FGFR2 Mutant Receptor Activation R-HSA-1839126,2/33,0.0056185685544129,0.0610713973305758,0,0,19.453567937438905,100.80213187276532,FGF3;FGF4
Reactome_2022,Negative Regulation Of FGFR1 Signaling R-HSA-5654726,2/33,0.0056185685544129,0.0610713973305758,0,0,19.453567937438905,100.80213187276532,FGF3;FGF4
Reactome_2022,Negative Regulation Of FGFR2 Signaling R-HSA-5654727,2/34,0.0059566939997746,0.0620488958309859,0,0,18.84469696969697,96.54589870420406,FGF3;FGF4
Reactome_2022,Signaling By FGFR2 In Disease R-HSA-5655253,2/42,0.0089837812478537,0.0898378124785378,0,0,15.06969696969697,71.0134515924959,FGF3;FGF4
Reactome_2022,PI3K Cascade R-HSA-109704,2/44,0.0098277218378831,0.0944973253642606,0,0,14.35064935064935,66.33656728780416,FGF3;FGF4
Reactome_2022,IRS-mediated Signaling R-HSA-112399,2/47,0.011157007032523,0.1033056206715096,0,0,13.391919191919191,60.20588431539311,FGF3;FGF4
Reactome_2022,Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192,2/53,0.0140377695733921,0.1063467391923644,0,0,11.81283422459893,50.39359516285688,FGF3;FGF4
Reactome_2022,Insulin Receptor Signaling Cascade R-HSA-74751,2/53,0.0140377695733921,0.1063467391923644,0,0,11.81283422459893,50.39359516285688,FGF3;FGF4
Reactome_2022,IGF1R Signaling Cascade R-HSA-2428924,2/52,0.0135374651522263,0.1063467391923644,0,0,12.049696969696967,51.84134187640708,FGF3;FGF4
Reactome_2022,Ion Homeostasis R-HSA-5578775,2/50,0.0125608922452035,0.1063467391923644,0,0,12.553030303030305,54.94671101969335,SLN;TRDN
Reactome_2022,Signaling By FGFR1 R-HSA-5654736,2/49,0.0120847413708695,0.1063467391923644,0,0,12.820760799484203,56.61406510399833,FGF3;FGF4
Reactome_2022,IRS-related Events Triggered By IGF1R R-HSA-2428928,2/51,0.0130451531567721,0.1063467391923644,0,0,12.296227581941867,53.357495224329035,FGF3;FGF4
Reactome_2022,Sodium-coupled Phosphate Cotransporters R-HSA-427652,1/5,0.016886331477543,0.114096834307723,0,0,74.35820895522389,303.4744977483959,SLC34A2
Reactome_2022,FasL/ CD95L Signaling R-HSA-75157,1/5,0.016886331477543,0.114096834307723,0,0,74.35820895522389,303.4744977483959,FADD
Reactome_2022,Defective RIPK1-mediated Regulated Necrosis R-HSA-9693928,1/5,0.016886331477543,0.114096834307723,0,0,74.35820895522389,303.4744977483959,FADD
Reactome_2022,Drug-mediated Inhibition Of CDK4/CDK6 Activity R-HSA-9754119,1/5,0.016886331477543,0.114096834307723,0,0,74.35820895522389,303.4744977483959,CCND1
Reactome_2022,Signaling By FGFR In Disease R-HSA-1226099,2/61,0.0183209904394635,0.1204151141339644,0,0,10.20698510529019,40.824958531179334,FGF3;FGF4
Reactome_2022,PTK6 Regulates Cell Cycle R-HSA-8849470,1/6,0.020229739174506,0.1204151141339644,0,0,59.48358208955224,232.02175076653657,CCND1
Reactome_2022,TLR3-mediated TICAM1-dependent Programmed Cell Death R-HSA-9013957,1/6,0.020229739174506,0.1204151141339644,0,0,59.48358208955224,232.02175076653657,FADD
Reactome_2022,Metal Sequestration By Antimicrobial Proteins R-HSA-6799990,1/6,0.020229739174506,0.1204151141339644,0,0,59.48358208955224,232.02175076653657,LTF
Reactome_2022,FGFR1b Ligand Binding And Activation R-HSA-190370,1/6,0.020229739174506,0.1204151141339644,0,0,59.48358208955224,232.02175076653657,FGF3
Reactome_2022,Ion Channel Transport R-HSA-983712,3/175,0.0217910284059355,0.1266920256159043,0,0,5.3023255813953485,20.288060026940617,ANO1;SLN;TRDN
Reactome_2022,Highly Sodium Permeable Postsynaptic Acetylcholine Nicotinic Receptors R-HSA-629587,1/7,0.0235619444744116,0.1317644352466548,0,0,49.56716417910448,185.78379790492124,CHRND
Reactome_2022,Innate Immune System R-HSA-168249,8/1035,0.0237175983443978,0.1317644352466548,0,0,2.454397922752353,9.183222997450628,PIGR;FLG2;BPIFA1;MYH2;BPIFB1;FADD;MUC5B;LTF
Reactome_2022,Signaling By FGFR2 R-HSA-5654738,2/72,0.0249862294254293,0.1357947251382027,0,0,8.598268398268399,31.722713064037848,FGF3;FGF4
Reactome_2022,TRAIL Signaling R-HSA-75158,1/8,0.0268829840764004,0.1400155420645857,0,0,42.48400852878465,153.63329523076956,FADD
Reactome_2022,RUNX3 Regulates WNT Signaling R-HSA-8951430,1/8,0.0268829840764004,0.1400155420645857,0,0,42.48400852878465,153.63329523076956,CCND1
Reactome_2022,Signaling By Insulin Receptor R-HSA-74752,2/77,0.0282953801353318,0.1443641843639377,0,0,8.023030303030303,28.602558206981847,FGF3;FGF4
Reactome_2022,Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,2/78,0.0289772739894376,0.1448863699471884,0,0,7.917065390749602,28.036255655392363,FGF3;FGF4
Reactome_2022,TRIF-mediated Programmed Cell Death R-HSA-2562578,1/9,0.0301928946413059,0.1451581473139709,0,0,37.17164179104478,130.10627217002806,FADD
Reactome_2022,Diseases Associated With Surfactant Metabolism R-HSA-5687613,1/9,0.0301928946413059,0.1451581473139709,0,0,37.17164179104478,130.10627217002806,SLC34A2
Reactome_2022,FGFR1c Ligand Binding And Activation R-HSA-190373,1/12,0.0400562176312821,0.1504235316090691,0,0,27.029850746268657,86.96777093294467,FGF4
Reactome_2022,Drug ADME R-HSA-9748784,2/95,0.0415333663112977,0.1504235316090691,0,0,6.464320625610948,20.56467278617517,GSTM1;UGT1A7
Reactome_2022,Neuronal System R-HSA-112316,4/386,0.042386238422904,0.1504235316090691,0,0,3.198625654450262,10.110636699570517,CHRND;ACTN2;PPFIA1;SHANK2
Reactome_2022,FGFR2c Ligand Binding And Activation R-HSA-190375,1/13,0.0433219771034119,0.1504235316090691,0,0,24.77611940298507,77.77459794803441,FGF4
Reactome_2022,Presynaptic Nicotinic Acetylcholine Receptors R-HSA-622323,1/12,0.0400562176312821,0.1504235316090691,0,0,27.029850746268657,86.96777093294467,CHRND
Reactome_2022,TNFR1-induced Proapoptotic Signaling R-HSA-5357786,1/13,0.0433219771034119,0.1504235316090691,0,0,24.77611940298507,77.77459794803441,FADD
Reactome_2022,Phospholipase C-mediated Cascade; FGFR3 R-HSA-5654227,1/13,0.0433219771034119,0.1504235316090691,0,0,24.77611940298507,77.77459794803441,FGF4
Reactome_2022,NF-kB Activation Thru FADD/RIP-1 Pathway Mediated By Caspase-8 And -10 R-HSA-933543,1/13,0.0433219771034119,0.1504235316090691,0,0,24.77611940298507,77.77459794803441,FADD
Reactome_2022,FGFR3 Ligand Binding And Activation R-HSA-190239,1/13,0.0433219771034119,0.1504235316090691,0,0,24.77611940298507,77.77459794803441,FGF4
Reactome_2022,FGFR3 Mutant Receptor Activation R-HSA-2033514,1/12,0.0400562176312821,0.1504235316090691,0,0,27.029850746268657,86.96777093294467,FGF4
Reactome_2022,Biological Oxidations R-HSA-211859,3/218,0.0381608311538026,0.1504235316090691,0,0,4.232629695885509,13.82353855129215,GSTM1;ADH7;UGT1A7
Reactome_2022,Signaling By Activated Point Mutants Of FGFR1 R-HSA-1839122,1/11,0.0367794749552908,0.1504235316090691,0,0,29.734328358208955,98.20699568293152,FGF4
Reactome_2022,Ethanol Oxidation R-HSA-71384,1/11,0.0367794749552908,0.1504235316090691,0,0,29.734328358208955,98.20699568293152,ADH7
Reactome_2022,Dimerization Of Procaspase-8 R-HSA-69416,1/11,0.0367794749552908,0.1504235316090691,0,0,29.734328358208955,98.20699568293152,FADD
Reactome_2022,CASP8 Activity Is Inhibited R-HSA-5218900,1/11,0.0367794749552908,0.1504235316090691,0,0,29.734328358208955,98.20699568293152,FADD
Reactome_2022,Protein-protein Interactions At Synapses R-HSA-6794362,2/88,0.0361490718881948,0.1504235316090691,0,0,6.992952783650458,23.217330541087087,PPFIA1;SHANK2
Reactome_2022,Signaling By FGFR R-HSA-190236,2/86,0.0346645906265795,0.1504235316090691,0,0,7.16017316017316,24.07276391232094,FGF3;FGF4
Reactome_2022,Creatine Metabolism R-HSA-71288,1/10,0.0334917127632155,0.1504235316090691,0,0,33.039800995024876,112.21827165973409,CKM
Reactome_2022,RUNX3 Regulates p14-ARF R-HSA-8951936,1/10,0.0334917127632155,0.1504235316090691,0,0,33.039800995024876,112.21827165973409,CCND1
Reactome_2022,FGFR2b Ligand Binding And Activation R-HSA-190377,1/10,0.0334917127632155,0.1504235316090691,0,0,33.039800995024876,112.21827165973409,FGF3
Reactome_2022,Stimuli-sensing Channels R-HSA-2672351,2/100,0.0455522545652315,0.1552559652893126,0,0,6.132962275819419,18.944077490294053,ANO1;TRDN
Reactome_2022,FGFR4 Ligand Binding And Activation R-HSA-190322,1/14,0.0465767895867937,0.1552559652893126,0,0,22.869115958668196,70.13164167770657,FGF4
Reactome_2022,Acetylcholine Binding And Downstream Events R-HSA-181431,1/14,0.0465767895867937,0.1552559652893126,0,0,22.869115958668196,70.13164167770657,CHRND
Reactome_2022,Phase II - Conjugation Of Compounds R-HSA-156580,2/107,0.051408525298376,0.1606516415574252,0,0,5.722077922077922,16.9828483697141,GSTM1;UGT1A7
Reactome_2022,Transmission Across Chemical Synapses R-HSA-112315,3/246,0.0514026772348549,0.1606516415574252,0,0,3.739601139601139,11.099379337171564,CHRND;ACTN2;PPFIA1
Reactome_2022,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",2/106,0.05055599663343,0.1606516415574252,0,0,5.777389277389277,17.243621904768,FGF3;FGF4
Reactome_2022,Phospholipase C-mediated Cascade; FGFR4 R-HSA-5654228,1/15,0.0498206911792053,0.1606516415574252,0,0,21.23454157782516,63.6892892034775,FGF4
Reactome_2022,PI3K/AKT Signaling In Cancer R-HSA-2219528,2/105,0.049708699731429,0.1606516415574252,0,0,5.833774639599882,17.510513959080843,FGF3;FGF4
Reactome_2022,Negative Regulation Of NMDA Receptor-Mediated Neuronal Transmission R-HSA-9617324,1/21,0.0690569798213239,0.161348083694682,0,0,14.859701492537312,39.71735668720526,ACTN2
Reactome_2022,Signaling By FGFR3 In Disease R-HSA-5655332,1/21,0.0690569798213239,0.161348083694682,0,0,14.859701492537312,39.71735668720526,FGF4
Reactome_2022,"Unblocking Of NMDA Receptors, Glutamate Binding And Activation R-HSA-438066",1/21,0.0690569798213239,0.161348083694682,0,0,14.859701492537312,39.71735668720526,ACTN2
Reactome_2022,RHO GTPases Activate PAKs R-HSA-5627123,1/21,0.0690569798213239,0.161348083694682,0,0,14.859701492537312,39.71735668720526,CTTN
Reactome_2022,Azathioprine ADME R-HSA-9748787,1/21,0.0690569798213239,0.161348083694682,0,0,14.859701492537312,39.71735668720526,GSTM1
Reactome_2022,FRS-mediated FGFR4 Signaling R-HSA-5654712,1/21,0.0690569798213239,0.161348083694682,0,0,14.859701492537312,39.71735668720526,FGF4
Reactome_2022,Cardiac Conduction R-HSA-5576891,2/126,0.0685432111606992,0.161348083694682,0,0,4.840664711632454,12.97438963817553,SLN;TRDN
Reactome_2022,MAPK1/MAPK3 Signaling R-HSA-5684996,3/277,0.0683172346624373,0.161348083694682,0,0,3.3112857944974734,8.886144063136387,ACTN2;FGF3;FGF4
Reactome_2022,Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844,1/20,0.0658777916264093,0.161348083694682,0,0,15.642576590730558,42.547087131862945,PPFIA1
Reactome_2022,PI-3K cascade:FGFR4 R-HSA-5654720,1/20,0.0658777916264093,0.161348083694682,0,0,15.642576590730558,42.547087131862945,FGF4
Reactome_2022,RAF/MAP Kinase Cascade R-HSA-5673001,3/271,0.0648656152777195,0.161348083694682,0,0,3.3864523536165327,9.263429120677364,ACTN2;FGF3;FGF4
Reactome_2022,SHC-mediated cascade:FGFR4 R-HSA-5654719,1/19,0.0626879068283445,0.161348083694682,0,0,16.512437810945272,45.73262853376193,FGF4
Reactome_2022,Defective C1GALT1C1 Causes TNPS R-HSA-5083632,1/19,0.0626879068283445,0.161348083694682,0,0,16.512437810945272,45.73262853376193,MUC5B
Reactome_2022,FRS-mediated FGFR3 Signaling R-HSA-5654706,1/19,0.0626879068283445,0.161348083694682,0,0,16.512437810945272,45.73262853376193,FGF4
Reactome_2022,Immune System R-HSA-168256,11/1943,0.0624698301560704,0.161348083694682,0,0,1.7979731938542007,4.985908322845832,PIGR;FLG2;BPIFA1;MYH2;BPIFB1;CCND1;FADD;ASB5;MUC5B;KLHL41;LTF
Reactome_2022,Norepinephrine Neurotransmitter Release Cycle R-HSA-181430,1/18,0.0594872899827324,0.161348083694682,0,0,17.484635645302898,49.34151245692923,PPFIA1
Reactome_2022,Serotonin Neurotransmitter Release Cycle R-HSA-181429,1/18,0.0594872899827324,0.161348083694682,0,0,17.484635645302898,49.34151245692923,PPFIA1
Reactome_2022,Defective GALNT3 Causes HFTC R-HSA-5083625,1/18,0.0594872899827324,0.161348083694682,0,0,17.484635645302898,49.34151245692923,MUC5B
Reactome_2022,Defective GALNT12 Causes CRCS1 R-HSA-5083636,1/18,0.0594872899827324,0.161348083694682,0,0,17.484635645302898,49.34151245692923,MUC5B
Reactome_2022,PI-3K cascade:FGFR3 R-HSA-5654710,1/18,0.0594872899827324,0.161348083694682,0,0,17.484635645302898,49.34151245692923,FGF4
Reactome_2022,Negative Regulation Of PI3K/AKT Network R-HSA-199418,2/113,0.0566311064322393,0.161348083694682,0,0,5.4111384111384115,15.536443621202164,FGF3;FGF4
Reactome_2022,SHC-mediated cascade:FGFR3 R-HSA-5654704,1/17,0.056275905553084,0.161348083694682,0,0,18.578358208955223,53.4590176825742,FGF4
Reactome_2022,Regulation Of RUNX1 Expression And Activity R-HSA-8934593,1/17,0.056275905553084,0.161348083694682,0,0,18.578358208955223,53.4590176825742,CCND1
Reactome_2022,Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,1/17,0.056275905553084,0.161348083694682,0,0,18.578358208955223,53.4590176825742,PPFIA1
Reactome_2022,Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,1/17,0.056275905553084,0.161348083694682,0,0,18.578358208955223,53.4590176825742,CCND1
Reactome_2022,Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534,1/16,0.0530537178751864,0.161348083694682,0,0,19.817910447761193,58.19430975162623,FADD
Reactome_2022,Ras Activation Upon Ca2+ Influx Thru NMDA Receptor R-HSA-442982,1/19,0.0626879068283445,0.161348083694682,0,0,16.512437810945272,45.73262853376193,ACTN2
Reactome_2022,Nephrin Family Interactions R-HSA-373753,1/22,0.0722255067202058,0.1656548319270777,0,0,14.15138592750533,37.18930470253887,ACTN2
Reactome_2022,RA Biosynthesis Pathway R-HSA-5365859,1/22,0.0722255067202058,0.1656548319270777,0,0,14.15138592750533,37.18930470253887,ADH7
Reactome_2022,Glutamate Neurotransmitter Release Cycle R-HSA-210500,1/23,0.0753834075225752,0.1682665346486055,0,0,13.507462686567164,34.919061481317286,PPFIA1
Reactome_2022,Long-term Potentiation R-HSA-9620244,1/23,0.0753834075225752,0.1682665346486055,0,0,13.507462686567164,34.919061481317286,ACTN2
Reactome_2022,Dopamine Neurotransmitter Release Cycle R-HSA-212676,1/23,0.0753834075225752,0.1682665346486055,0,0,13.507462686567164,34.919061481317286,PPFIA1
Reactome_2022,Downstream Signaling Of Activated FGFR3 R-HSA-5654708,1/24,0.0785307173419281,0.1722164853989652,0,0,12.919532770927969,32.870720562250014,FGF4
Reactome_2022,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,1/24,0.0785307173419281,0.1722164853989652,0,0,12.919532770927969,32.870720562250014,CCND1
