gene_symbol,source
SPINK6,RNA
ACTC1,RNA
ANKRD1,RNA
ASB5,RNA
SLN,RNA
BPIFA1,RNA
MYBPH,RNA
CACNA1S,RNA
MYL2,RNA
NEFM,RNA
STATH,RNA
MYL1,RNA
MYOG,RNA
SCGB3A1,RNA
CHRND,RNA
MYF6,RNA
SMYD1,RNA
ACTA1,RNA
KLHL41,RNA
LMOD2,RNA
SLC34A2,RNA
GSTM1,RNA
XIRP2,RNA
RPTN,RNA
KRT24,RNA
TRDN,RNA
MYBPC2,RNA
SPINK7,RNA
MYH1,RNA
SPRR2B,RNA
CSRP3,RNA
ACTN2,RNA
DES,RNA
TNNC1,RNA
NRAP,RNA
UPK1B,RNA
CKM,RNA
TCAP,RNA
MUC5B,RNA
C10orf71,RNA
MYH2,RNA
FDCSP,RNA
BPIFB1,RNA
PRAME,RNA
SPRR2F,RNA
TMPRSS11B,RNA
HORMAD1,RNA
LTF,RNA
SPRR3,RNA
UGT1A7,RNA
MYH7,RNA
MYH8,RNA
NTS,RNA
FLG2,RNA
MYBPC1,RNA
SPRR2G,RNA
PIGR,RNA
ADH7,RNA
KRT2,RNA
LCE3D,RNA
PPFIA1,SCNA
SHANK2,SCNA
FGF4,SCNA
FGF3,SCNA
CCND1,SCNA
ANO1,SCNA
FADD,SCNA
CTTN,SCNA
