Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
PanglaoDB_Augmented_2021,Myocytes,27/163,2.1500119043632823e-39,1.5265084520979306e-37,0,0,95.8558106169297,8534.555192279397,LMOD2;CSRP3;C10ORF71;SLN;NRAP;ANKRD1;SMYD1;XIRP2;CACNA1S;MYOG;CKM;ACTN2;TNNC1;KLHL41;TRDN;ACTA1;MYH1;MYH2;ACTC1;DES;MYL1;MYL2;MYH8;MYF6;TCAP;ASB5;MYH7,PanglaoDB
PanglaoDB_Augmented_2021,Cardiomyocytes,22/174,3.3786544845219815e-29,1.1994223420053035e-27,0,0,62.23684210526316,4080.091163164037,CKM;ACTN2;TNNC1;KLHL41;LMOD2;TRDN;ACTA1;CSRP3;C10ORF71;ACTC1;DES;SLN;MYL1;MYL2;NRAP;ANKRD1;SMYD1;XIRP2;TCAP;CACNA1S;ASB5;MYH7,PanglaoDB
MSigDB_Hallmark_2020,Myogenesis,18/200,3.7778122070163435e-21,5.666718310524515e-20,0,0,39.065934065934066,1837.0810925946353,MYOG;CKM;ACTN2;TNNC1;MYBPH;ACTA1;MYH1;CSRP3;MYH2;ACTC1;DES;SLN;MYL1;MYL2;MYH8;MYF6;TCAP;MYH7,MSigDB Hallmark
Cancer_Cell_Line_Encyclopedia,RD SOFT TISSUE,18/211,1.0063521100404752e-20,5.122332240106018e-18,0,0,36.818860103626946,1695.338030538914,MYOG;MYBPC1;CKM;ACTN2;MYBPH;ACTA1;CHRND;CSRP3;ACTC1;DES;SLN;MYL1;MYH8;SMYD1;XIRP2;CACNA1S;ASB5;MYH7,Cancer Cell Line Encyclopedia
Human_Gene_Atlas,SkeletalMuscle,20/441,1.492421351882826e-17,4.626506190836762e-16,0,0,19.31017418844022,748.1446356781652,MYBPC1;MYBPC2;CKM;ACTN2;LMOD2;ACTA1;MYH1;MYH2;DES;SLN;MYL1;MYL2;NRAP;ANKRD1;MYH8;MYF6;TCAP;CACNA1S;ASB5;MYH7,Human Gene Atlas
GO_Biological_Process_2023,Muscle Contraction (GO:0006936),11/94,1.663530663909194e-14,8.201206173072327e-12,0,0,46.150708095540054,1464.2350096844843,MYH1;CHRND;MYH2;DES;MYL1;MYH8;CACNA1S;KLHL41;LMOD2;TRDN;MYH7,GO Biological Process
OMIM_Disease,cardiomyopathy,8/42,1.2561345479441553e-12,1.0049076383553242e-11,0,0,78.03137254901961,2138.29229189179,CSRP3;DES;ACTC1;ACTN2;TNNC1;MYL2;TCAP;MYH7,OMIM Disease
Reactome_2022,Striated Muscle Contraction R-HSA-390522,8/33,1.5134996987248272e-13,3.783749246812067e-11,0,0,106.17066666666666,3134.071185520483,MYBPC1;MYBPC2;DES;ACTN2;MYL1;MYL2;MYH8;TCAP,Reactome Pathways
OMIM_Disease,"cardiomyopathy, dilated",7/33,1.522369931360945e-11,6.089479725443779e-11,0,0,87.85750315258512,2188.369425473644,CSRP3;DES;ACTC1;ACTN2;TNNC1;TCAP;MYH7,OMIM Disease
GO_Cellular_Component_2023,Myofibril (GO:0030016),7/29,5.62159354552473e-12,4.6097067073302776e-10,0,0,103.85245901639344,2690.236256559119,MYBPC1;MYH2;DES;MYL1;MYL2;LMOD2;MYH7,GO Cellular Component
