feature,type
Age,clinical
Pack_Years,clinical
Gender_Male,clinical
Stage_II,clinical
Stage_III,clinical
Stage_IV,clinical
Stage_Unknown,clinical
T_Stage_T2,clinical
T_Stage_T3,clinical
T_Stage_T4,clinical
T_Stage_TX,clinical
N_Stage_N1,clinical
N_Stage_N2,clinical
N_Stage_N3,clinical
N_Stage_NX,clinical
Grade_G2,clinical
Grade_G3,clinical
Grade_GX,clinical
Alcohol_History_Unknown,clinical
Alcohol_History_Yes,clinical
RNA_SPINK6,RNA
RNA_ACTC1,RNA
RNA_ANKRD1,RNA
RNA_ASB5,RNA
RNA_SLN,RNA
RNA_BPIFA1,RNA
RNA_MYBPH,RNA
RNA_CACNA1S,RNA
RNA_MYL2,RNA
RNA_NEFM,RNA
RNA_STATH,RNA
RNA_MYL1,RNA
RNA_MYOG,RNA
RNA_SCGB3A1,RNA
RNA_CHRND,RNA
RNA_MYF6,RNA
RNA_SMYD1,RNA
RNA_ACTA1,RNA
RNA_KLHL41,RNA
RNA_LMOD2,RNA
RNA_SLC34A2,RNA
RNA_GSTM1,RNA
RNA_XIRP2,RNA
RNA_RPTN,RNA
RNA_KRT24,RNA
RNA_TRDN,RNA
RNA_MYBPC2,RNA
RNA_SPINK7,RNA
RNA_MYH1,RNA
RNA_SPRR2B,RNA
RNA_CSRP3,RNA
RNA_ACTN2,RNA
RNA_DES,RNA
RNA_TNNC1,RNA
RNA_NRAP,RNA
RNA_UPK1B,RNA
RNA_CKM,RNA
RNA_TCAP,RNA
RNA_MUC5B,RNA
RNA_C10orf71,RNA
RNA_MYH2,RNA
RNA_FDCSP,RNA
RNA_BPIFB1,RNA
RNA_PRAME,RNA
RNA_SPRR2F,RNA
RNA_TMPRSS11B,RNA
RNA_HORMAD1,RNA
RNA_LTF,RNA
RNA_SPRR3,RNA
RNA_UGT1A7,RNA
RNA_MYH7,RNA
RNA_MYH8,RNA
RNA_NTS,RNA
RNA_FLG2,RNA
RNA_MYBPC1,RNA
RNA_SPRR2G,RNA
RNA_PIGR,RNA
RNA_ADH7,RNA
RNA_KRT2,RNA
RNA_LCE3D,RNA
CNV_PPFIA1,SCNA
CNV_SHANK2,SCNA
CNV_FGF4,SCNA
CNV_FGF3,SCNA
CNV_CCND1,SCNA
CNV_ANO1,SCNA
CNV_FADD,SCNA
CNV_CTTN,SCNA
