feature,cindex_deviation
RNA_SPINK6,0.11046592008848333
RNA_ACTC1,0.07541822203788195
RNA_ANKRD1,0.07527996681874738
RNA_ASB5,0.07527996681874738
RNA_SLN,0.07417392506567122
RNA_BPIFA1,0.07071754458730817
RNA_MYBPH,0.0668463984515415
RNA_CACNA1S,0.066431632794138
RNA_MYL2,0.06629337757500342
RNA_NEFM,0.06622424996543619
RNA_STATH,0.06615512235586896
RNA_MYL1,0.06518733582192726
RNA_MYOG,0.0650490806027928
RNA_SCGB3A1,0.06491082538365822
RNA_CHRND,0.0626987418775059
RNA_MYF6,0.061869210562698784
RNA_SMYD1,0.061316189686160705
RNA_ACTA1,0.05730678833125946
RNA_KLHL41,0.05647725701645234
RNA_LMOD2,0.05606249135904884
RNA_SLC34A2,0.05592423613991426
RNA_GSTM1,0.054818194386838104
RNA_XIRP2,0.05246785566155121
RNA_RPTN,0.05177657956587861
RNA_KRT24,0.05053228259366793
RNA_TRDN,0.050324899764966124
RNA_MYBPC2,0.048596709525784654
RNA_SPINK7,0.04845845430665008
RNA_MYH1,0.04804368864924646
RNA_SPRR2B,0.046661136457901264
RNA_CSRP3,0.0465228812387668
RNA_ACTN2,0.04624637080049776
RNA_DES,0.045278584266556066
RNA_TNNC1,0.044449052951748946
RNA_NRAP,0.04334301119867279
RNA_UPK1B,0.04320475597953821
RNA_CKM,0.041269182911654934
RNA_TCAP,0.03843495091939719
RNA_MUC5B,0.03822756809069544
RNA_C10orf71,0.037951057652426345
RNA_MYH2,0.037398036775888266
RNA_FDCSP,0.03615373980367759
RNA_BPIFB1,0.03560071892713951
RNA_PRAME,0.03449467717406329
RNA_SPRR2F,0.03421816673579425
RNA_TMPRSS11B,0.03394165629752521
RNA_HORMAD1,0.033250380201852614
RNA_LTF,0.033250380201852614
RNA_SPRR3,0.032559104106180015
RNA_UGT1A7,0.031453062353103856
RNA_MYH7,0.03103829669570024
RNA_MYH8,0.030347020600027697
RNA_NTS,0.03034702060002764
RNA_FLG2,0.029240978846951482
RNA_MYBPC1,0.028964468408682387
RNA_SPRR2G,0.024678556615512215
RNA_PIGR,0.022881238766763456
RNA_ADH7,0.022328217890225377
RNA_KRT2,0.021360431356283682
RNA_LCE3D,0.020116134384073003
