feature,cindex_deviation,stability
CNV_PPFIA1,0.06442693211668737,
CNV_SHANK2,0.046937646896170304,
CNV_FGF4,0.045831605143094145,
CNV_FGF3,0.04486381860915245,
CNV_CCND1,0.041891331397760245,
CNV_ANO1,0.040716162035116854,
CNV_FADD,0.038227568090695385,
CNV_CTTN,0.03815844048112815,
CNV_MRGPRD,0.031729572791372895,
CNV_FGF19,0.027512788607769956,
CNV_MRGPRF,0.020669155260611083,
CNV_CSMD1,0.020669155260611083,
CNV_NAALADL2,0.01977049633623673,
CNV_MYEOV,0.019632241117102156,
CNV_TPCN2,0.017143647172680798,
CNV_CPT1A,0.01638324346744091,
CNV_IGHMBP2,0.008710078805474919,
CNV_FAT1,0.008087930319369607,
CNV_GAL,0.0028342319922576853,
CNV_MRPL21,0.0013134245817779666,
