Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
ENCODE_TF_ChIP-seq_2015,FOXM1 ECC-1 hg19,1/578,0.8283301238479007,0.999996435495596,0,0,0.5687806597538407,0.1071261423274412,AAA1
ENCODE_TF_ChIP-seq_2015,CEBPB HepG2 hg19,1/3621,0.9999906506701224,0.999996435495596,0,0,0.0764116490308081,7.144010528639969e-07,AAA1
ENCODE_TF_ChIP-seq_2015,RAD21 SK-N-SH hg19,1/3228,0.9999714238474972,0.999996435495596,0,0,0.0877815886088249,2.508495904779344e-06,AAA1
ENCODE_TF_ChIP-seq_2015,CTCF HCT116 hg19,1/3149,0.9999631386845684,0.999996435495596,0,0,0.090409837830853,3.3326869743903304e-06,AAA1
ENCODE_TF_ChIP-seq_2015,EP300 HepG2 hg19,1/3119,0.9999593376770898,0.999996435495596,0,0,0.0914427979691458,3.718352177766527e-06,AAA1
ENCODE_TF_ChIP-seq_2015,EBF1 GM12878 hg19,1/2924,0.9999220334801544,0.999996435495596,0,0,0.0986738723275947,7.693558348953494e-06,AAA1
ENCODE_TF_ChIP-seq_2015,CEBPB A549 hg19,1/2860,0.9999031588766704,0.999996435495596,0,0,0.1012621457069853,9.806814800168075e-06,AAA1
ENCODE_TF_ChIP-seq_2015,RAD21 GM12878 hg19,1/2690,0.9998272299384188,0.999996435495596,0,0,0.1087355264070191,1.8787866630595552e-05,AAA1
ENCODE_TF_ChIP-seq_2015,RAD21 MCF-7 hg19,1/2508,0.9996786895495342,0.999996435495596,0,0,0.1178598230040632,3.787567807275675e-05,AAA1
ENCODE_TF_ChIP-seq_2015,FOXA1 HepG2 hg19,1/2272,0.9992846450431244,0.999996435495596,0,0,0.1318690340251811,9.436692409741252e-05,AAA1
ENCODE_TF_ChIP-seq_2015,CUX1 GM12878 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1
ENCODE_TF_ChIP-seq_2015,MXI1 GM12878 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1
ENCODE_TF_ChIP-seq_2015,CTCF MCF-7 hg19,1/5540,0.9999963912072292,0.999996435495596,0,0,0.0440665726237067,1.5902741566378214e-07,AAA1
ENCODE_TF_ChIP-seq_2015,MAX GM12878 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1
ENCODE_TF_ChIP-seq_2015,BHLHE40 GM12878 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1
ENCODE_TF_ChIP-seq_2015,CTCF NB4 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1
ENCODE_TF_ChIP-seq_2015,MAFF HepG2 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1
ENCODE_TF_ChIP-seq_2015,SMC3 HepG2 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1
ENCODE_TF_ChIP-seq_2015,EZH2 myotube hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1
ENCODE_TF_ChIP-seq_2015,RAD21 HCT116 hg19,1/1973,0.998050291430172,0.999996435495596,0,0,0.1544332519682332,0.0003013937453817763,AAA1
ENCODE_TF_ChIP-seq_2015,MBD4 HepG2 hg19,1/1809,0.996641956347927,0.999996435495596,0,0,0.1699790010499475,0.0005717574368644075,AAA1
ENCODE_TF_ChIP-seq_2015,MYBL2 HepG2 hg19,1/1595,0.9932210685190735,0.999996435495596,0,0,0.1950747506539353,0.0013269009523155,AAA1
ENCODE_TF_ChIP-seq_2015,CEBPB ECC-1 hg19,1/1273,0.980781432955002,0.999996435495596,0,0,0.248747468286963,0.0048271049374091,AAA1
ENCODE_TF_ChIP-seq_2015,ESR1 ECC-1 hg19,1/637,0.8570132364372224,0.999996435495596,0,0,0.5144440891162989,0.0793797083268117,AAA1
ENCODE_TF_ChIP-seq_2015,HNF4G HepG2 hg19,1/605,0.8420973947839885,0.999996435495596,0,0,0.5425973734425862,0.0932505679213547,AAA1
ENCODE_TF_ChIP-seq_2015,SMC3 SK-N-SH hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1
ENCODE_TF_ChIP-seq_2015,EP300 GM12878 hg19,1/4724,0.999996435495596,0.999996435495596,0,0,0.0546083536390616,1.9465206395344448e-07,AAA1
