gene_symbol,source
AAA67,RNA
AAA6,RNA+SCNA
AAA65,RNA
AAA38,RNA
AAA43,RNA
AAA72,RNA
AAA8,RNA
AAA59,RNA
AAA12,RNA
AAA70,RNA
AAA73,RNA
AAA2,RNA+SCNA
AAA27,RNA
AAA46,RNA
AAA60,RNA
AAA48,RNA
AAA49,RNA
AAA19,RNA
AAA34,RNA
AAA31,RNA
AAA54,RNA
AAA5,RNA+SCNA
AAA7,RNA+SCNA
AAA78,RNA
AAA28,RNA
AAA30,RNA
AAA40,RNA
AAA41,RNA
AAA4,RNA+SCNA
AAA53,RNA
AAA9,RNA+SCNA
AAA23,RNA
AAA13,RNA
AAA52,RNA
AAA10,RNA
AAA18,RNA
AAA35,RNA
AAA50,RNA
AAA21,RNA
AAA62,RNA
AAA1,RNA+SCNA
AAA39,RNA
AAA3,RNA+SCNA
AAA22,RNA
AAA64,RNA
AAA61,RNA
AAA57,RNA
AAA36,RNA
AAA29,RNA
AAA47,RNA
AAA16,RNA
AAA75,RNA
AAA14,RNA
AAA66,RNA
AAA11,RNA
AAA71,RNA
AAA32,RNA
AAA55,RNA
AAA74,RNA
AAA76,RNA
