Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Cancer_Cell_Line_Encyclopedia,RD SOFT TISSUE,18/211,1.0063521100404752e-20,5.122332240106018e-18,0,0,36.818860103626946,1695.338030538914,MYOG;MYBPC1;CKM;ACTN2;MYBPH;ACTA1;CHRND;CSRP3;ACTC1;DES;SLN;MYL1;MYH8;SMYD1;XIRP2;CACNA1S;ASB5;MYH7
Cancer_Cell_Line_Encyclopedia,RH41 SOFT TISSUE,10/311,9.371636808559121e-08,2.3850815677782957e-05,0,0,11.24470156948104,181.97292652601183,MYOG;CHRND;CSRP3;C10ORF71;ACTC1;DES;MYL1;MYH8;ASB5;STATH
Cancer_Cell_Line_Encyclopedia,SNUC2A LARGE INTESTINE,6/80,3.04095477731656e-07,5.1594866055137627e-05,0,0,25.969485614646903,389.6961303965052,SPRR3;LCE3D;MYBPC1;BPIFB1;MUC5B;RPTN
Cancer_Cell_Line_Encyclopedia,SNU1214 UPPER AERODIGESTIVE TRACT,8/240,1.52094439828934e-06,0.00019354017468231852,0,0,11.32183908045977,151.66938407882094,FLG2;LCE3D;SPRR2G;SPINK7;SPINK6;KRT2;ADH7;RPTN
Cancer_Cell_Line_Encyclopedia,BICR16 UPPER AERODIGESTIVE TRACT,6/125,4.211769696353973e-06,0.0004287581550888344,0,0,16.112496611547844,199.4344834595144,SPRR3;LCE3D;SPRR2G;SPINK7;SPINK6;KRT24
Cancer_Cell_Line_Encyclopedia,SJRH30 SOFT TISSUE,8/315,1.1271696753569324e-05,0.0009562156079277976,0,0,8.523344191096633,97.10829873823454,MYOG;CHRND;CSRP3;ACTC1;DES;CKM;SMYD1;STATH
Cancer_Cell_Line_Encyclopedia,HARA LUNG,5/93,1.6132240787677964e-05,0.0011730443658468,0,0,17.896825396825395,197.4859337497494,LCE3D;SPRR2G;SPINK7;SPINK6;NTS
Cancer_Cell_Line_Encyclopedia,SCC9 UPPER AERODIGESTIVE TRACT,7/248,2.1086994359826613e-05,0.0013416600161439,0,0,9.376028841575405,100.95033446750404,FLG2;SPRR3;LCE3D;SPRR2G;SPINK7;SPINK6;RPTN
Cancer_Cell_Line_Encyclopedia,TE6 OESOPHAGUS,5/110,3.633628788350884e-05,0.0016813791393369,0,0,14.986394557823129,153.20132047987494,PPFIA1;HORMAD1;FADD;NTS;ADH7
Cancer_Cell_Line_Encyclopedia,TT OESOPHAGUS,7/262,2.997192444036378e-05,0.0016813791393369,0,0,8.8549662487946,92.22668249839322,ANO1;SPRR3;LCE3D;UPK1B;PPFIA1;FADD;ADH7
Cancer_Cell_Line_Encyclopedia,TE14 OESOPHAGUS,5/110,3.633628788350884e-05,0.0016813791393369,0,0,14.986394557823129,153.20132047987494,PPFIA1;STATH;ADH7;RPTN;TRDN
Cancer_Cell_Line_Encyclopedia,TE11 OESOPHAGUS,4/64,6.658670949613468e-05,0.0028243862611277,0,0,20.7,199.07201503915695,ANO1;PPFIA1;FADD;ADH7
Cancer_Cell_Line_Encyclopedia,RH30 SOFT TISSUE,7/315,9.577071289703075e-05,0.0037497917588145,0,0,7.311475409836065,67.65712982382988,MYOG;CHRND;C10ORF71;ACTC1;DES;MYL1;ASB5
Cancer_Cell_Line_Encyclopedia,L33 PANCREAS,4/88,0.0002298672195672479,0.0083573153399806,0,0,14.767857142857142,123.72523594775036,BPIFA1;BPIFB1;SPINK6;MUC5B
Cancer_Cell_Line_Encyclopedia,LU65 LUNG,4/93,0.00028417040343567076,0.0096428490232504,0,0,13.934691011235955,113.78980177265366,BPIFA1;BPIFB1;HORMAD1;MUC5B
Cancer_Cell_Line_Encyclopedia,VMRCLCP LUNG,4/96,0.0003208563224514985,0.0102072417579882,0,0,13.478260869565217,108.42610042953902,BPIFA1;UPK1B;BPIFB1;ADH7
Cancer_Cell_Line_Encyclopedia,BICR18 UPPER AERODIGESTIVE TRACT,4/100,0.000374898293077499,0.0112248959515557,0,0,12.9140625,101.87717668990722,SPRR3;PPFIA1;FADD;ADH7
Cancer_Cell_Line_Encyclopedia,LS180 LARGE INTESTINE,4/117,0.000678792668290459,0.0191947482311024,0,0,10.96183628318584,79.96873133270765,PIGR;MYH1;MYH8;MUC5B
Cancer_Cell_Line_Encyclopedia,CL11 LARGE INTESTINE,4/120,0.0007464027821625444,0.019995737690565,0,0,10.676724137931034,76.87503152296487,SPRR3;SPINK6;TNNC1;ANKRD1
Cancer_Cell_Line_Encyclopedia,PECAPJ15 UPPER AERODIGESTIVE TRACT,3/55,0.0008690133722139896,0.0210742225919131,0,0,17.644970414201183,124.36443430473982,SPRR3;SPINK7;SPINK6
Cancer_Cell_Line_Encyclopedia,TE9 OESOPHAGUS,4/125,0.0008694669438706805,0.0210742225919131,0,0,10.232954545454543,72.11807992255137,FLG2;SPINK7;PPFIA1;FADD
Cancer_Cell_Line_Encyclopedia,LI7 LIVER,4/131,0.001035258015484,0.0235667180835711,0,0,9.746555118110235,66.98909274830557,XIRP2;FADD;FGF3;FGF4
Cancer_Cell_Line_Encyclopedia,T3M4 PANCREAS,4/132,0.0010649008171358,0.0235667180835711,0,0,9.669921875,66.18939308783337,SPRR3;SPINK7;CACNA1S;RPTN
Cancer_Cell_Line_Encyclopedia,KYSE520 OESOPHAGUS,3/66,0.0014758981403422,0.031301339726425,0,0,14.556043956043956,94.8834060906592,LCE3D;ACTC1;RPTN
Cancer_Cell_Line_Encyclopedia,KMBC2 URINARY TRACT,4/148,0.0016240064024725,0.0330647703543414,0,0,8.588541666666666,55.16299295517263,PIGR;SPRR3;UPK1B;BPIFB1
Cancer_Cell_Line_Encyclopedia,NCIH2170 LUNG,3/80,0.0025616672983476,0.0482921724021837,0,0,11.9010989010989,71.01501088382052,BPIFB1;TCAP;MUC5B
Cancer_Cell_Line_Encyclopedia,NCIH1734 LUNG,3/80,0.0025616672983476,0.0482921724021837,0,0,11.9010989010989,71.01501088382052,BPIFA1;BPIFB1;HORMAD1
Cancer_Cell_Line_Encyclopedia,A172 CENTRAL NERVOUS SYSTEM,3/86,0.0031449411298114,0.0571705369669292,0,0,11.037442075996292,63.59730093256308,DES;SPINK6;MYL2
Cancer_Cell_Line_Encyclopedia,CAPAN1 PANCREAS,3/99,0.0046711795590451,0.0819872550191027,0,0,9.53653846153846,51.17634268241488,PIGR;BPIFB1;TNNC1
Cancer_Cell_Line_Encyclopedia,KYSE140 OESOPHAGUS,3/102,0.0050766226053206,0.086133363536941,0,0,9.246153846153844,48.84843933940704,PPFIA1;FADD;NTS
Cancer_Cell_Line_Encyclopedia,MDAMB361 BREAST,3/109,0.0061033061199502,0.0941388731834743,0,0,8.632510885341073,44.01652269786551,MYBPC1;BPIFB1;LTF
Cancer_Cell_Line_Encyclopedia,SNU475 LIVER,3/109,0.0061033061199502,0.0941388731834743,0,0,8.632510885341073,44.01652269786551,ACTC1;MYBPH;ASB5
Cancer_Cell_Line_Encyclopedia,A253 SALIVARY GLAND,3/109,0.0061033061199502,0.0941388731834743,0,0,8.632510885341073,44.01652269786551,SPRR2G;KRT24;NEFM
Cancer_Cell_Line_Encyclopedia,IGROV1 OVARY,3/113,0.0067417025821938,0.1009272533628427,0,0,8.316923076923077,41.57998100648248,SLC34A2;TNNC1;KRT24
Cancer_Cell_Line_Encyclopedia,NCIH1781 LUNG,3/117,0.0074184496843124,0.107885453980429,0,0,8.023481781376518,39.34543105999912,SLC34A2;BPIFB1;HORMAD1
Cancer_Cell_Line_Encyclopedia,JHOS4 OVARY,3/124,0.0086966292801961,0.122960675100551,0,0,7.556643356643357,35.85491077419694,SLC34A2;UPK1B;TNNC1
Cancer_Cell_Line_Encyclopedia,SW1353 BONE,3/128,0.0094814825748279,0.1304344494753362,0,0,7.313353846153846,34.06863422360056,MYL2;MYH8;LTF
Cancer_Cell_Line_Encyclopedia,KYSE510 OESOPHAGUS,2/46,0.010705542973315,0.1433979308794042,0,0,13.696969696969695,62.14306435802923,PPFIA1;FADD
Cancer_Cell_Line_Encyclopedia,DETROIT562 UPPER AERODIGESTIVE TRACT,2/50,0.0125608922452035,0.163935747507913,0,0,12.553030303030305,54.94671101969335,PIGR;SCGB3A1
Cancer_Cell_Line_Encyclopedia,SNU503 LARGE INTESTINE,3/149,0.0142689212395206,0.1815720227729005,0,0,6.254794520547946,26.580821679201694,SPRR3;NEFM;ADH7
Cancer_Cell_Line_Encyclopedia,SNU840 OVARY,2/56,0.0155860552571749,0.1934951738024886,0,0,11.154882154882156,46.41968853471818,UPK1B;SPINK6
Cancer_Cell_Line_Encyclopedia,KYSE70 OESOPHAGUS,3/156,0.0161186479423977,0.1953426619685818,0,0,5.9665158371040725,24.628455314762117,HORMAD1;NTS;ADH7
Cancer_Cell_Line_Encyclopedia,SNU324 PANCREAS,2/58,0.0166571457140209,0.1971741201962014,0,0,10.755411255411255,44.04250544933113,SLC34A2;MUC5B
Cancer_Cell_Line_Encyclopedia,NCIH1650 LUNG,2/60,0.0177588230505749,0.2008720207276139,0,0,10.383490073145246,41.85452784289615,SPINK6;TNNC1
Cancer_Cell_Line_Encyclopedia,CL14 LARGE INTESTINE,3/161,0.0175187526479849,0.2008720207276139,0,0,5.776241480038949,23.36191273361971,TNNC1;MYL2;LTF
Cancer_Cell_Line_Encyclopedia,MOGGUVW CENTRAL NERVOUS SYSTEM,2/63,0.0194677024405894,0.2121545371033505,0,0,9.871336313959263,38.88317865399663,SLN;MYL1
Cancer_Cell_Line_Encyclopedia,OVISE OVARY,3/168,0.0195899081411738,0.2121545371033505,0,0,5.529230769230769,21.745031085472768,SLC34A2;UPK1B;KRT24
Cancer_Cell_Line_Encyclopedia,HT1376 URINARY TRACT,3/177,0.0224438335326234,0.2303761653939673,0,0,5.240848806366047,19.89813703796136,SPRR3;UPK1B;KRT24
Cancer_Cell_Line_Encyclopedia,RERFLCAD2 LUNG,2/68,0.02246243390249,0.2303761653939673,0,0,9.12121212121212,34.623309145572826,SPRR3;UPK1B
Cancer_Cell_Line_Encyclopedia,CAL29 URINARY TRACT,2/69,0.0230828770826961,0.2303761653939673,0,0,8.984622342831297,33.86002446746899,SPRR3;UPK1B
Cancer_Cell_Line_Encyclopedia,LOVO LARGE INTESTINE,2/69,0.0230828770826961,0.2303761653939673,0,0,8.984622342831297,33.86002446746899,SPINK7;SPINK6
Cancer_Cell_Line_Encyclopedia,NCIH1623 LUNG,3/182,0.0241223722948407,0.2349664580641935,0,0,5.093167168027503,18.970089674092613,SPINK6;HORMAD1;TRDN
Cancer_Cell_Line_Encyclopedia,HT1197 URINARY TRACT,3/183,0.0244660555548177,0.2349664580641935,0,0,5.064615384615385,18.792096404643026,SPRR3;UPK1B;KRT24
Cancer_Cell_Line_Encyclopedia,CORL311 LUNG,4/329,0.0257129981156769,0.2423688155718438,0,0,3.770576923076923,13.803172092979471,MYBPC2;KRT2;MYH8;SHANK2
Cancer_Cell_Line_Encyclopedia,SUPM2 HAEMATOPOIETIC AND LYMPHOID TISSUE,4/331,0.0262155883415755,0.2426133539247627,0,0,3.747133027522936,13.644814216877936,UPK1B;MYBPC2;CACNA1S;TRDN
Cancer_Cell_Line_Encyclopedia,HS688AT SKIN,3/192,0.0276787340857232,0.2483163532566187,0,0,4.821245421245421,17.29424549610241,MYH1;MYH2;ACTC1
Cancer_Cell_Line_Encyclopedia,FADU UPPER AERODIGESTIVE TRACT,2/77,0.0282953801353318,0.2483163532566187,0,0,8.023030303030303,28.602558206981847,PPFIA1;FADD
Cancer_Cell_Line_Encyclopedia,NCIH2347 LUNG,2/77,0.0282953801353318,0.2483163532566187,0,0,8.023030303030303,28.602558206981847,SLC34A2;SCGB3A1
Cancer_Cell_Line_Encyclopedia,SKLMS1 SOFT TISSUE,2/78,0.0289772739894376,0.2499903806885386,0,0,7.917065390749602,28.036255655392363,XIRP2;ASB5
Cancer_Cell_Line_Encyclopedia,ABC1 LUNG,2/81,0.0310621557721581,0.2635106214671419,0,0,7.615266589950134,26.438416446487174,SPRR3;UPK1B
Cancer_Cell_Line_Encyclopedia,SNU899 UPPER AERODIGESTIVE TRACT,2/82,0.0317700135987581,0.2650973265863592,0,0,7.5196969696969695,25.93718244608623,ANO1;UPK1B
