Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Muscle Contraction (GO:0006936),11/94,1.663530663909194e-14,8.201206173072327e-12,0,0,46.150708095540054,1464.2350096844843,MYH1;CHRND;MYH2;DES;MYL1;MYH8;CACNA1S;KLHL41;LMOD2;TRDN;MYH7
GO_Biological_Process_2023,Myofibril Assembly (GO:0030239),8/46,2.74750253562026e-12,6.77259375030394e-10,0,0,69.80350877192983,1858.192353907799,CSRP3;ACTN2;MYL2;ANKRD1;TCAP;KLHL41;LMOD2;MYH7
GO_Biological_Process_2023,Heart Contraction (GO:0060047),7/41,7.842343072732682e-11,1.2887583782857376e-08,0,0,67.15814850530376,1562.6961324151755,CSRP3;ACTC1;TNNC1;MYL2;TCAP;TRDN;MYH7
GO_Biological_Process_2023,Striated Muscle Contraction (GO:0006941),7/57,8.836808105651632e-10,1.0891365990215637e-07,0,0,45.630819672131146,951.262284178066,CSRP3;TNNC1;MYL2;MYH8;TCAP;KLHL41;MYH7
GO_Biological_Process_2023,Actomyosin Structure Organization (GO:0031032),7/77,7.619631288666613e-09,7.51295645062528e-07,0,0,32.56065573770492,608.6412899845278,CSRP3;ACTN2;ANKRD1;TCAP;KLHL41;LMOD2;MYH7
GO_Biological_Process_2023,Sarcomere Organization (GO:0045214),5/29,4.3600051786859435e-08,3.582470921820283e-06,0,0,65.83333333333333,1115.7569936723246,CSRP3;ANKRD1;TCAP;LMOD2;MYH7
GO_Biological_Process_2023,Actin-Myosin Filament Sliding (GO:0033275),4/12,5.9250691261669034e-08,3.824143576823494e-06,0,0,155.65625,2590.3516772270473,MYH2;MYL1;MYH8;MYH7
GO_Biological_Process_2023,Cardiac Muscle Tissue Morphogenesis (GO:0055008),5/31,6.205506818374838e-08,3.824143576823494e-06,0,0,60.76312576312576,1008.3788769505026,TNNC1;MYL2;ANKRD1;TCAP;MYH7
GO_Biological_Process_2023,Cardiac Muscle Contraction (GO:0060048),5/33,8.622634593552894e-08,4.723287616246195e-06,0,0,56.4172335600907,917.6990859604076,CSRP3;TNNC1;MYL2;TCAP;MYH7
GO_Biological_Process_2023,Cardiac Myofibril Assembly (GO:0055003),4/15,1.621396359670757e-07,7.99348405317683e-06,0,0,113.1875,1769.664821735429,CSRP3;MYL2;NRAP;TCAP
GO_Biological_Process_2023,Epidermis Development (GO:0008544),6/85,4.367435703039008e-07,1.8722433053680655e-05,0,0,24.319722335647203,356.1360588140758,FLG2;SPRR2F;SPRR3;SPRR2G;KRT2;SPRR2B
GO_Biological_Process_2023,Skeletal Muscle Contraction (GO:0003009),4/19,4.557184516108882e-07,1.8722433053680655e-05,0,0,82.9875,1211.7329064671835,TNNC1;MYH8;TCAP;MYH7
GO_Biological_Process_2023,Regulation Of Muscle Contraction (GO:0006937),4/29,2.721978566510944e-06,0.00010322580256076118,0,0,49.7675,637.7282861665242,TNNC1;MYL2;MYBPH;CACNA1S
GO_Biological_Process_2023,Muscle Cell Fate Commitment (GO:0042693),3/9,3.1116468497818627e-06,0.0001095744212101756,0,0,153.27692307692308,1943.606324925113,MYOG;MYL2;MYF6
GO_Biological_Process_2023,Muscle Filament Sliding (GO:0030049),3/10,4.434399496193174e-06,0.00014574393010821564,0,0,131.37362637362637,1619.3268670724071,MYL1;MYH8;MYH7
GO_Biological_Process_2023,Skeletal Muscle Organ Development (GO:0060538),4/35,5.909325614872254e-06,0.00018208109550825133,0,0,40.122983870967744,483.0397539091498,MYOG;CSRP3;DES;MYF6
GO_Biological_Process_2023,Actin Filament Organization (GO:0007015),6/144,9.513330772216888e-06,0.00027588659239428974,0,0,13.88078541374474,160.50097466771362,ACTA1;ACTC1;NRAP;XIRP2;TCAP;LMOD2
GO_Biological_Process_2023,Keratinocyte Differentiation (GO:0030216),4/42,1.2408288722730247e-05,0.0003219624389634743,0,0,32.7203947368421,369.6470720462672,SPRR2F;SPRR3;SPRR2G;SPRR2B
GO_Biological_Process_2023,Skeletal Muscle Tissue Development (GO:0007519),4/42,1.2408288722730247e-05,0.0003219624389634743,0,0,32.7203947368421,369.6470720462672,MYOG;CSRP3;MYF6;KLHL41
GO_Biological_Process_2023,Heart Process (GO:0003015),3/16,2.0393699200298096e-05,0.000502704685287348,0,0,70.71834319526627,763.778230654716,ACTC1;MYL2;TRDN
GO_Biological_Process_2023,Epidermal Cell Differentiation (GO:0009913),4/54,3.400003748412858e-05,0.000761909930894336,0,0,24.8525,255.7110738045548,SPRR2F;SPRR3;SPRR2G;SPRR2B
GO_Biological_Process_2023,Regulation Of Myoblast Differentiation (GO:0045661),4/54,3.400003748412858e-05,0.000761909930894336,0,0,24.8525,255.7110738045548,MYOG;MYF6;SMYD1;KLHL41
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Development (GO:0003229),3/25,8.194477284226889e-05,0.00166593916621,0,0,41.76923076923077,393.026116651049,TNNC1;MYL2;MYH7
GO_Biological_Process_2023,Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155),3/25,8.194477284226889e-05,0.00166593916621,0,0,41.76923076923077,393.026116651049,MYOG;MYF6;SMYD1
GO_Biological_Process_2023,Skin Development (GO:0043588),4/68,8.447967374290188e-05,0.00166593916621,0,0,19.40234375,181.9745742695092,SPRR2F;SPRR3;SPRR2G;SPRR2B
GO_Biological_Process_2023,Cardiac Muscle Cell Development (GO:0055013),3/26,9.240810800337933e-05,0.001752199894064,0,0,39.95117056856187,371.118242334436,CSRP3;MYL2;TCAP
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),7/316,9.767900963960374e-05,0.0017835463611972,0,0,7.287442304631545,67.29095868216858,DES;KRT2;KRT24;XIRP2;KLHL41;LMOD2;TRDN
GO_Biological_Process_2023,Positive Regulation Of Skeletal Muscle Fiber Development (GO:0048743),2/5,0.00011315119111665648,0.001969774434446,0,0,201.3030303030303,1829.1974888825955,MYOG;MYF6
GO_Biological_Process_2023,Mucosal Immune Response (GO:0002385),3/28,0.00011586908437918095,0.001969774434446,0,0,36.751384615384616,333.0796211647444,PIGR;BPIFB1;LTF
GO_Biological_Process_2023,Skeletal Muscle Thin Filament Assembly (GO:0030240),2/6,0.00016935418711549392,0.0026932778789657,0,0,150.96969696969697,1310.94811949453,ACTC1;TCAP
GO_Biological_Process_2023,Detection Of Muscle Stretch (GO:0035995),2/6,0.00016935418711549392,0.0026932778789657,0,0,150.96969696969697,1310.94811949453,CSRP3;TCAP
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010),3/33,0.0001906414942440443,0.0029370705206973,0,0,30.61846153846154,262.25067136359644,TNNC1;MYL2;MYH7
GO_Biological_Process_2023,Positive Regulation Of Myotube Differentiation (GO:0010831),2/7,0.0002365753274945057,0.0033323324701368,0,0,120.76969696969697,1008.3356546729788,MYOG;SMYD1
GO_Biological_Process_2023,Cardiac Muscle Hypertrophy (GO:0003300),2/7,0.0002365753274945057,0.0033323324701368,0,0,120.76969696969697,1008.3356546729788,CSRP3;TCAP
GO_Biological_Process_2023,Regulation Of Skeletal Muscle Fiber Development (GO:0048742),2/7,0.0002365753274945057,0.0033323324701368,0,0,120.76969696969697,1008.3356546729788,MYOG;MYF6
GO_Biological_Process_2023,Muscle Cell Differentiation (GO:0042692),3/37,0.00026886963687817376,0.003582506242728,0,0,27.010859728506787,222.06394667301703,MYOG;ACTN2;MYF6
GO_Biological_Process_2023,Muscle Tissue Development (GO:0060537),3/37,0.00026886963687817376,0.003582506242728,0,0,27.010859728506787,222.06394667301703,MYOG;CSRP3;MYF6
GO_Biological_Process_2023,Positive Regulation Of Myoblast Differentiation (GO:0045663),3/38,0.00029120715321542454,0.0037780296456632,0,0,26.237802197802196,213.6144284200033,MYOG;MYF6;SMYD1
GO_Biological_Process_2023,Adult Heart Development (GO:0007512),2/8,0.00031474126366608674,0.0038791860746845,0,0,100.63636363636364,811.5074475931799,TCAP;MYH7
GO_Biological_Process_2023,Skeletal Myofibril Assembly (GO:0014866),2/8,0.00031474126366608674,0.0038791860746845,0,0,100.63636363636364,811.5074475931799,ACTC1;TCAP
GO_Biological_Process_2023,Cardiac Ventricle Morphogenesis (GO:0003208),3/42,0.0003924528755522667,0.0047190065279821,0,0,23.542011834319528,184.64221389004297,TNNC1;MYL2;MYH7
GO_Biological_Process_2023,Positive Regulation Of Skeletal Muscle Tissue Development (GO:0048643),2/9,0.00040377900206164984,0.0047395963813426,0,0,86.25541125541126,674.0552332096978,MYOG;MYF6
GO_Biological_Process_2023,Sarcoplasmic Reticulum Calcium Ion Transport (GO:0070296),2/10,0.0005036159037475685,0.0057740148964546,0,0,75.46969696969697,573.09398703068,SLN;TRDN
