Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Myofibril (GO:0030016),7/29,5.62159354552473e-12,4.6097067073302776e-10,0,0,103.85245901639344,2690.236256559119,MYBPC1;MYH2;DES;MYL1;MYL2;LMOD2;MYH7
GO_Cellular_Component_2023,Cornified Envelope (GO:0001533),7/41,7.842343072732682e-11,3.2153606598204e-09,0,0,67.15814850530376,1562.6961324151755,SPRR2F;SPRR3;FLG2;SPRR2G;KRT2;SPRR2B;RPTN
GO_Cellular_Component_2023,Muscle Myosin Complex (GO:0005859),4/14,1.1920688421339993e-07,3.2583215018329313e-06,0,0,124.5125,1985.0287437157128,MYH2;MYL1;MYH8;MYH7
GO_Cellular_Component_2023,Myosin Filament (GO:0032982),4/15,1.621396359670757e-07,3.323862537325051e-06,0,0,113.1875,1769.664821735429,MYH1;MYH2;MYH8;MYH7
GO_Cellular_Component_2023,Actin Filament (GO:0005884),5/71,4.281406345798273e-06,7.021506407109167e-05,0,0,23.88888888888889,295.29602651426154,ACTA1;ACTC1;CTTN;ACTN2;LMOD2
GO_Cellular_Component_2023,Supramolecular Fiber (GO:0099512),4/36,6.631012731346725e-06,9.062384066173856e-05,0,0,38.8671875,463.4427441612301,MYH1;MYH2;MYH8;MYH7
GO_Cellular_Component_2023,Polymeric Cytoskeletal Fiber (GO:0099513),7/265,3.222894816860599e-05,0.0003775391071179558,0,0,8.750667174990468,90.50504846047008,ACTA1;ACTC1;CTTN;ACTN2;KRT2;NEFM;LMOD2
GO_Cellular_Component_2023,Sarcoplasmic Reticulum Membrane (GO:0033017),3/27,0.000103706510385465,0.001062991731451,0,0,38.284615384615385,351.2209812956565,SLN;KLHL41;TRDN
GO_Cellular_Component_2023,Sarcoplasmic Reticulum (GO:0016529),3/45,0.0004815756056455739,0.0043876888514374,0,0,21.857142857142858,166.9546342358889,SLN;KLHL41;TRDN
GO_Cellular_Component_2023,Actin Cytoskeleton (GO:0015629),6/327,0.0008521710408473169,0.0069878025349479,0,0,5.912270123605667,41.786289303267914,ACTA1;ACTC1;CTTN;ACTN2;MYL2;LMOD2
GO_Cellular_Component_2023,Cell-Substrate Junction (GO:0030055),6/395,0.0022295498798593,0.016620280922588,0,0,4.861845924205987,29.68621515996816,ACTC1;CTTN;ACTN2;NRAP;PPFIA1;XIRP2
GO_Cellular_Component_2023,Intermediate Filament Cytoskeleton (GO:0045111),3/81,0.002653771927353,0.0181341081702456,0,0,11.74792899408284,69.68605132829177,DES;KRT2;NEFM
GO_Cellular_Component_2023,Cytoskeleton (GO:0005856),7/599,0.0041679586721087,0.0262902008548398,0,0,3.7488923349579086,20.545162969148624,ACTA1;DES;CTTN;ACTN2;MYL2;NEFM;KLHL41
GO_Cellular_Component_2023,Intercalated Disc (GO:0014704),2/31,0.0049698589293484,0.0291091737290409,0,0,20.79728317659352,110.31635651344553,DES;NRAP
GO_Cellular_Component_2023,Brush Border Membrane (GO:0031526),2/40,0.0081742109725009,0.0446856866496717,0,0,15.864433811802233,76.25670171031994,SLC34A2;SHANK2
GO_Cellular_Component_2023,Focal Adhesion (GO:0005925),5/387,0.0101743325988453,0.0521434545690823,0,0,4.061746862793983,18.634836206098065,ACTC1;CTTN;ACTN2;PPFIA1;XIRP2
GO_Cellular_Component_2023,Tertiary Granule Lumen (GO:1904724),2/53,0.0140377695733921,0.0677115944128325,0,0,11.81283422459893,50.39359516285688,FLG2;LTF
GO_Cellular_Component_2023,Filopodium (GO:0030175),2/60,0.0177588230505749,0.0809013050081745,0,0,10.383490073145246,41.85452784289615,ACTC1;ACTN2
GO_Cellular_Component_2023,Cortical Cytoskeleton (GO:0030863),2/63,0.0194677024405894,0.0840185052699121,0,0,9.871336313959263,38.88317865399663,CTTN;ACTN2
GO_Cellular_Component_2023,Death-Inducing Signaling Complex (GO:0031264),1/7,0.0235619444744116,0.092003783185798,0,0,49.56716417910448,185.78379790492124,FADD
